epoch,value
0,12819.94149109271
1,-28.965752739598127
2,-117.00155366322079
3,-126.61789307183965
4,-118.81304815683988
5,-120.95922586297888
6,-122.66568472672364
7,-106.92237696965489
8,-107.31962360714213
9,-96.47878382938802
10,-91.05734022010328
11,-86.14552014807747
12,-97.20490353847885
13,-97.7153089072879
14,-94.31985024383671
15,-91.93315106345179
16,-75.45563483557446
17,-80.35162009400501
18,-83.31593662230765
19,-79.17581353508858
20,-71.41002831780342
21,-61.27773940922978
22,-58.81192992431879
23,-61.94116543346526
24,-56.070628787187935
25,-61.80548671013696
26,-62.00042057196104
27,-69.7779107036868
28,-72.07987569839467
29,-62.70458862510096
30,-72.91968970993472
31,-73.81488990880322
32,-74.39973318676032
33,-75.05131192333991
34,-70.44382004531823
35,-73.63202135989279
36,-78.87489170699249
37,-80.31716561854088
38,-74.29076966330362
39,-75.1481058375142
40,-75.45672638371254
41,-74.5777188679533
42,-68.61204730076184
43,-77.17352528049932
44,-76.00261251572859
45,-75.81621776690417
46,-74.59590518275279
47,-75.15606963994267
48,-79.62695656118167
49,-78.52446824958858
