experiment,variant,dataset,stage,method,auroc_mean,auroc_std,ap_mean,ap_std,auroc[decouple]_mean,auroc[decouple]_std,auroc[desync]_mean,auroc[desync]_std,auroc[drift]_mean,auroc[drift]_std,auroc[offset]_mean,auroc[offset]_std,auroc[organic]_mean,auroc[organic]_std,auroc[spike]_mean,auroc[spike]_std,fit_s_mean,fit_s_std,params_mean,params_std,train_nll_mean,train_nll_std,n_seeds,seeds,axis:dataset.subset,dead_mean,dead_std,axis:model.vtree,axis:model.leaf_components,axis:model.K,rmse_mean,rmse_std,mae_mean,mae_std,nasa_mean,nasa_std,crps_mean,crps_std,picp_mean,picp_std,mpiw_mean,mpiw_std,interval_score_mean,interval_score_std,calib_err_mean,calib_err_std,pred_sd_mean,pred_sd_std,axis:eval.alpha,diag_q_hat_mean,diag_q_hat_std,diag_raw_cal_coverage_mean,diag_raw_cal_coverage_std,diag_n_cal_mean,diag_n_cal_std,diag_frac_clipped_lo_mean,diag_frac_clipped_lo_std,diag_frac_clipped_hi_mean,diag_frac_clipped_hi_std,diag_frac_full_range_mean,diag_frac_full_range_std,diag_pit_mean_mean,diag_pit_mean_std,diag_pit_sd_mean,diag_pit_sd_std,diag_lo_level_mean,diag_lo_level_std,diag_hi_level_mean,diag_hi_level_std,alpha_mean,alpha_std,picp_edge_mean,picp_edge_std,mpiw_edge_mean,mpiw_edge_std,interval_score_edge_mean,interval_score_edge_std,pit_mean_mean,pit_mean_std,pit_var_mean,pit_var_std,pit_ks_mean,pit_ks_std,pit_var_target_mean,pit_var_target_std,loc_auroc_mean,loc_auroc_std,prec_at_k_mean,prec_at_k_std,n_windows_mean,n_windows_std,loc_auroc[spike]_mean,loc_auroc[spike]_std,loc_auroc[offset]_mean,loc_auroc[offset]_std,loc_auroc[drift]_mean,loc_auroc[drift]_std,loc_auroc[decouple]_mean,loc_auroc[decouple]_std,loc_auroc[desync]_mean,loc_auroc[desync]_std,deletion_auc_mean,deletion_auc_std,max_residual_nats_mean,max_residual_nats_std,mean_residual_nats_mean,mean_residual_nats_std,axis:eval.shap_samples,censored_frac_mean,censored_frac_std,axis:dataset.censor_frac,train_rows_mean,train_rows_std,n_dead_mean,n_dead_std,crps_full_mean,crps_full_std,crps_exact_marginal_mean,crps_exact_marginal_std,crps_imputed_mean,crps_imputed_std,rmse_full_mean,rmse_full_std,rmse_exact_marginal_mean,rmse_exact_marginal_std,rmse_imputed_mean,rmse_imputed_std,picp_exact_marginal_mean,picp_exact_marginal_std,picp_exact_marginal_edge_mean,picp_exact_marginal_edge_std,picp_imputed_mean,picp_imputed_std,picp_imputed_edge_mean,picp_imputed_edge_std,marginal_pit_mean_mean,marginal_pit_mean_std,marginal_pit_var_mean,marginal_pit_var_std,marginal_pit_ks_mean,marginal_pit_ks_std,marginal_pit_var_target_mean,marginal_pit_var_target_std,d_mean,d_std,K_mean,K_std,dag_build_s_mean,dag_build_s_std,dag_leaves_mean,dag_leaves_std,dag_nodes_mean,dag_nodes_std,dag_params_mean,dag_params_std,dag_fwd_s_mean,dag_fwd_s_std,dag_logp_mean,dag_logp_std,tree_leaves_predicted_mean,tree_leaves_predicted_std,tree_build_s_mean,tree_build_s_std,tree_leaves_mean,tree_leaves_std,tree_nodes_mean,tree_nodes_std,tree_params_mean,tree_params_std,tree_fwd_s_mean,tree_fwd_s_std
cmapss_ad,subset-FD003,cmapss:FD003,ad,Deep SVDD,0.7706162338634851,0.007587444802214521,0.502831518567695,0.034293469451795414,0.5101295516003881,0.00396233761688445,0.6513252120138072,0.013604656123469807,0.9589098044821679,0.01452991298225903,0.9362175009803573,0.007704490218073147,0.9707484776749281,0.01602395531638084,0.7181587669220595,0.016299781680815,0.3028676509857178,0.024026923484239744,,,,,3,"[0, 1, 2]",FD003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_ad,subset-FD003,cmapss:FD003,ad,PC · 3 dead (exact marginal),0.7216975327063619,0.016733735162227804,0.3728514322199808,0.022568384630933507,0.5103202339069041,0.008818113212671862,0.560801007067934,0.02877530850276956,0.8888985828956101,0.01370869492391227,0.8678811476841607,0.008664987881392104,0.9807732408567224,0.001865119234734017,0.6891230078460788,0.030443222179710044,,,,,,,3,"[0, 1, 2]",FD003,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_ad,subset-FD003,cmapss:FD003,ad,PC · 3 dead (mean-imputed),0.7204134309052184,0.01698650758665151,0.3730780460840004,0.022906429703043758,0.5098882002620085,0.00908163168581734,0.5595357928179324,0.028812925117673617,0.8865099244902314,0.01388883077396843,0.865004699924035,0.008405772403409943,0.9855021280568251,0.00048628001289193254,0.6877683350829104,0.030457997736048126,,,,,,,3,"[0, 1, 2]",FD003,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_ad,subset-FD003,cmapss:FD003,ad,z-score (per channel) · 3 dead (imputed),0.7522271364476002,0.009902918378562248,0.3108208684472949,0.01605019036680292,0.5126411249034719,0.010597341803463323,0.5551672166324093,0.021892668589108752,0.8807211971147478,0.011118319417607624,0.8505394836164122,0.0010725777133636827,0.9523509948087735,0.0006366660937204759,0.8836286890916117,0.00630747964643148,,,,,,,3,"[0, 1, 2]",FD003,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_ad,subset-FD003,cmapss:FD003,ad,moving-average residual · 3 dead (imputed),0.7171089831332386,0.01368395200140251,0.40479711980254723,0.020281796098256564,0.5444414530947741,0.006604323818515479,0.54059746652028,0.0394586110423615,0.7738061663813643,0.0227270172018855,0.7152480742672788,0.01726222389243952,0.9531859653731461,0.0005690641605183342,0.9256910709628992,0.011007208840029512,,,,,,,3,"[0, 1, 2]",FD003,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_ad,subset-FD003,cmapss:FD003,ad,diagonal Gaussian · 3 dead (imputed),0.7094285313808758,0.016666588867497122,0.2881614961705535,0.0179428196153588,0.5100873429929745,0.009548819976859649,0.5582550199829682,0.027888862761857026,0.8594380110758122,0.016922362615679705,0.8447562974326503,0.007267759944574465,0.9922777228266684,4.176933912954901e-05,0.6758234146030354,0.025106575045256357,,,,,,,3,"[0, 1, 2]",FD003,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_ad,subset-FD003,cmapss:FD003,ad,PC · structural-only score,0.6759503198714699,0.01575341368604661,0.26794118720906196,0.01505441621571457,0.4964709089111059,0.005957356703078844,0.5470051191475357,0.04131628735287996,0.8775889766879853,0.006321276875477229,0.7661406344132645,0.014607415071345574,0.8551338610968756,0.037329301753926306,0.6287658209210227,0.03435572308070427,,,,,,,3,"[0, 1, 2]",FD003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_ad,subset-FD004,cmapss:FD004,ad,"RegionGraphPC [chain, K=8]",0.7991938879145083,0.011223642578720957,0.6283472564728455,0.015148034015798213,0.5835484933338556,0.042868776440738735,0.6085959934639616,0.03244268056831186,0.9794061177416875,0.0029575769657631357,0.9661082100422017,0.0036054851637666997,0.9824699912495968,0.0010087617320579058,0.7754097606153273,0.016702090432184666,66.31742318471272,5.092597267320825,17280.0,0.0,47.36388142903646,13.807188875650557,3,"[0, 1, 2]",FD004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_ad,subset-FD004,cmapss:FD004,ad,z-score (per channel),0.7949726692156659,0.004078731873988242,0.5874002689725039,0.006858161986162698,0.5072120962621456,0.007601692600838493,0.5182066893316454,0.006597341341113485,0.977917670626217,0.003119265963128964,0.9528017171941375,0.004429973016704687,0.9466080113119649,0.0035122397522163,0.9433144783932415,0.0037912451512277347,0.13244263331095377,0.007182254958015649,,,,,3,"[0, 1, 2]",FD004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_ad,subset-FD004,cmapss:FD004,ad,moving-average residual,0.7825286564786448,0.0039044252757121202,0.5925778515229885,0.009867472891257549,0.4989261714132837,0.00546063974140758,0.5051944790002889,0.00801193716745588,0.9504740064520716,0.007975190255415371,0.9133373746870133,0.011224075774561821,0.910995248088907,0.004801731607649747,0.9769981184510509,0.004609721171227749,0.9087766806284586,0.006973883457625761,,,,,3,"[0, 1, 2]",FD004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
