epoch,value
0,283.203039568088
1,219.55752593474938
2,197.49061162764724
3,185.44765622692432
4,177.38827089479153
5,170.32047217212238
6,165.02495418325037
7,157.17432962861088
8,150.75272335059702
9,145.86675300237587
10,140.93664324062757
11,134.6967840010818
12,130.0790081810185
13,123.92295908360039
14,127.34342947889591
15,120.70432584939246
16,119.48736640050416
17,116.08690519567249
18,116.1361582505455
19,115.8673795905591
20,110.03552218691388
21,110.12293874239425
22,114.63283021057937
23,113.42898273143516
24,116.42173816414096
25,104.60329713010157
26,109.44615468420018
27,108.74181766618177
28,102.67946578892959
29,103.96342888238975
30,104.95954348126071
31,99.19472736437964
32,107.11873491716295
33,105.52971818776122
34,107.68658331310365
35,104.61835710781509
36,104.64080300862938
37,129.36326384517332
38,126.41171845001625
39,127.23170470037623
40,134.63895389434296
41,124.62364765015802
42,117.23718189030379
43,114.49443868193599
44,110.33499469144132
45,107.06948742064276
46,105.1228242726317
47,104.0060635975944
48,103.20435784381368
49,101.92829312070332
