epoch,value
0,31926.826875221526
1,1828.377190758285
2,270.89564792222023
3,185.0905867636091
4,175.9915415138288
5,171.4426077253201
6,172.64447801442137
7,171.2834412371053
8,172.21438110005428
9,172.17126702523186
10,170.79874044320985
11,172.62900225633936
12,169.63489704672915
13,174.27094889245998
14,177.75810264774893
15,177.02834514769353
16,181.5347529622242
17,178.5029263242206
18,177.9018905726182
19,177.71964040947321
20,176.2255423821664
21,178.00471599268778
22,173.26611545036332
23,174.09056462250044
24,176.2831998886368
25,173.5338337773862
26,173.1175920800135
27,174.08158738365245
28,174.72038016364345
29,177.92659911532482
30,176.00493001955894
31,174.0976414181109
32,172.22657725112424
33,172.06450328574513
34,172.02237998803759
35,175.54627144999225
36,175.54685679906257
37,175.95140330669784
38,177.17240593086345
39,173.7303449836255
40,175.21983859489455
41,178.18409097307347
42,175.85980567860017
43,176.0803050107902
44,173.53294276217656
45,174.43477836854066
46,177.53306536899848
47,173.71660804676424
48,181.3431603242409
49,195.39739735248185
