experiment,variant,dataset,stage,method,rmse_mean,rmse_std,mae_mean,mae_std,nasa_mean,nasa_std,crps_mean,crps_std,picp_mean,picp_std,mpiw_mean,mpiw_std,interval_score_mean,interval_score_std,calib_err_mean,calib_err_std,pred_sd_mean,pred_sd_std,n_seeds,seeds,axis:dataset.subset,axis:eval.alpha,diag_q_hat_mean,diag_q_hat_std,diag_raw_cal_coverage_mean,diag_raw_cal_coverage_std,diag_n_cal_mean,diag_n_cal_std,diag_frac_clipped_lo_mean,diag_frac_clipped_lo_std,diag_frac_clipped_hi_mean,diag_frac_clipped_hi_std,diag_frac_full_range_mean,diag_frac_full_range_std,diag_pit_mean_mean,diag_pit_mean_std,diag_pit_sd_mean,diag_pit_sd_std,diag_lo_level_mean,diag_lo_level_std,diag_hi_level_mean,diag_hi_level_std,alpha_mean,alpha_std,picp_edge_mean,picp_edge_std,mpiw_edge_mean,mpiw_edge_std,interval_score_edge_mean,interval_score_edge_std,pit_mean_mean,pit_mean_std,pit_var_mean,pit_var_std,pit_ks_mean,pit_ks_std,pit_var_target_mean,pit_var_target_std
cmapss_calibration,subset-FD001_alpha-0.1,cmapss:FD001,calibration,SurvivalPC (raw exact predictive),19.173848614579,0.5583180426536083,14.655029389671043,0.8319512940339718,108362.86322661948,4435.4481931104065,7.974497647401479,0.32177527925355826,0.38068148148148157,0.01254604031445843,51.06992592592593,3.2961441096786905,90.06192592592593,0.6869336170538524,0.21260444444444446,0.012208570962167173,21.160301844278973,0.7019925792191276,3,"[0, 1, 2]",FD001,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_calibration,subset-FD001_alpha-0.1,cmapss:FD001,calibration,SurvivalPC + split conformal (cqr),19.173848614579,0.5583180426536083,14.655029389671043,0.8319512940339718,,,7.974497645796905,0.32177528473137235,0.9568592592592592,0.009802527598793246,56.06992592592593,3.2961441096786905,64.80829629629629,1.2343445170742535,,,,,3,"[0, 1, 2]",FD001,0.1,2.5,0.0,0.5816918526883831,0.04785175184866732,1693.6666666666667,416.1938650837291,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_calibration,subset-FD001_alpha-0.1,cmapss:FD001,calibration,SurvivalPC + split conformal (pit),19.173848614579,0.5583180426536083,14.655029389671043,0.8319512940339718,,,7.974497645796905,0.32177528473137235,0.39383703703703704,0.005509199190459952,56.9362962962963,1.4370343489856499,91.51585185185185,0.13999741326240867,,,,,3,"[0, 1, 2]",FD001,0.1,,,,,1693.6666666666667,416.1938650837291,0.0,0.0,0.0,0.0,0.0,0.0,0.5777960793557565,0.049344067453180054,0.36571452471129257,0.007240355310111805,0.04369206975231691,0.007520263657862737,1.0,0.0,,,,,,,,,,,,,,,,
cmapss_calibration,subset-FD001_alpha-0.1,cmapss:FD001,calibration,quantile reg. + conformal (CQR),19.51622634662149,0.7128877087104946,,,,,,,0.8276148148148148,0.02924989254667045,56.05543488725733,2.406846394922195,88.78587882759659,3.8973103790429624,,,,,3,"[0, 1, 2]",FD001,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_calibration,subset-FD002,cmapss:FD002,calibration,SurvivalPC (raw exact predictive) · a=0.10,30.35061190389107,0.36592786166863944,25.511740333611478,0.43687943655386197,1156042.9864320427,89609.17840828853,13.676572195672401,0.19592076093752037,0.4206726488115624,0.0014076264930926242,91.26590862387835,0.7895263851791707,123.28344407151175,0.4369388583964343,0.22176998424549624,0.005141301300312115,16.23214511871338,0.5126630216559668,5,"[0, 1, 2, 3, 4]",FD002,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,0.9850263716692924,0.0009411912617202652,96.26590862387835,0.7895263851791707,99.78505377080621,0.5015856290634336,0.554766503008627,0.010589935673221352,0.0716946172757197,0.0012255805342117768,0.09114401035208683,0.013127683024714187,0.08333333333333333,0.0
cmapss_calibration,subset-FD002,cmapss:FD002,calibration,SurvivalPC + split conformal (cqr) · a=0.10,30.35061190389107,0.36592786166863944,25.511740333611478,0.43687943655386197,,,13.676572204617372,0.19592075532257106,0.9850263716692924,0.0009411912617202652,96.26590862387835,0.7895263851791707,99.78505377080621,0.5015856290634336,,,,,5,"[0, 1, 2, 3, 4]",FD002,,2.5,0.0,0.5793184534600817,0.02249910851149998,4758.0,238.08926897279517,0.0,0.0,0.0,0.0,0.05231865196246319,0.01179888009439294,,,,,,,,,0.1,0.0,,,,,,,,,,,,,,
cmapss_calibration,subset-FD002,cmapss:FD002,calibration,SurvivalPC + split conformal (pit) · a=0.10,30.35061190389107,0.36592786166863944,25.511740333611478,0.43687943655386197,,,13.676572204617372,0.19592075532257106,0.4278238235495582,0.0017746097584449788,96.80471265155147,1.5109353716659932,126.58291663812591,1.0086206511071292,,,,,5,"[0, 1, 2, 3, 4]",FD002,,,,,,4758.0,238.08926897279517,0.0,0.0,0.0,0.0,0.0,0.0,0.5269338702587005,0.019550397096826752,0.37644310135717124,0.00499951771652975,0.03566185907876206,0.003188349636506408,1.0,0.0,0.1,0.0,,,,,,,,,,,,,,
cmapss_calibration,subset-FD002,cmapss:FD002,calibration,quantile reg. + conformal (CQR) · a=0.10,19.146837292961617,0.4105928848312076,,,,,,,0.8581957668333449,0.016759267847779025,54.174091472863516,2.3316213353996047,76.62176831459882,1.9670070998733502,,,,,5,"[0, 1, 2, 3, 4]",FD002,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,,,,,,,,,,,,,,
cmapss_calibration,subset-FD002,cmapss:FD002,calibration,SurvivalPC (raw exact predictive) · a=0.20,30.35061190389107,0.36592786166863944,25.511740333611478,0.43687943655386197,1156042.9864320427,89609.17840828853,13.676572195672401,0.19592076093752037,0.4206726488115624,0.0014076264930926242,91.26590862387835,0.7895263851791707,107.27467634769505,0.6057252906378192,0.22176998424549624,0.005141301300312115,16.23214511871338,0.5126630216559668,5,"[0, 1, 2, 3, 4]",FD002,,,,,,,,,,,,,,,,,,,,,,0.2,0.0,0.9850263716692924,0.0009411912617202652,96.26590862387835,0.7895263851791707,98.0254811973423,0.6395087742993112,0.554766503008627,0.010589935673221352,0.0716946172757197,0.0012255805342117768,0.09114401035208683,0.013127683024714187,0.08333333333333333,0.0
cmapss_calibration,subset-FD002,cmapss:FD002,calibration,SurvivalPC + split conformal (cqr) · a=0.20,30.35061190389107,0.36592786166863944,25.511740333611478,0.43687943655386197,,,13.676572204617372,0.19592075532257106,0.9850263716692924,0.0009411912617202652,96.26590862387835,0.7895263851791707,98.0254811973423,0.6395087742993112,,,,,5,"[0, 1, 2, 3, 4]",FD002,,2.5,0.0,0.5793184534600817,0.02249910851149998,4758.0,238.08926897279517,0.0,0.0,0.0,0.0,0.05231865196246319,0.01179888009439294,,,,,,,,,0.2,0.0,,,,,,,,,,,,,,
