epoch,value
0,17648.218426237603
1,1948.7587449723778
2,484.3198720118063
3,133.26842955312625
4,58.071917676449004
5,20.873781754191448
6,14.03022222790297
7,25.282168124443245
8,34.88441516825448
9,25.92452929251276
10,21.205908818044
11,13.416731954759873
12,23.7610564919464
13,25.372399306859542
14,22.115801789229028
15,17.381355935577766
16,17.897025509884482
17,18.099620653501027
18,19.043090795347478
19,23.91242208832136
20,22.324164011559137
21,21.399530215997306
22,20.930969033794558
23,24.142642987072684
24,23.83383082748348
25,26.847545888104353
26,39.52790363324619
27,47.394384648447414
28,55.226104822915666
29,47.27972029712677
30,52.77597214712538
31,48.48330536495417
32,45.938999987757235
33,44.25008681633277
34,41.94677877002164
35,41.96408342776586
36,40.23056104820885
37,40.551694819327714
38,43.107174534006845
39,48.13885221430235
40,45.275158387738905
41,42.17012904822323
42,42.98463822675185
43,40.32702677020931
44,41.00022868464388
45,41.64678851805103
46,43.534590881190915
47,41.03978469274753
48,45.15940094584031
49,42.714679584028104
