experiment,variant,dataset,stage,method,auroc_mean,auroc_std,ap_mean,ap_std,auroc[decouple]_mean,auroc[decouple]_std,auroc[desync]_mean,auroc[desync]_std,auroc[drift]_mean,auroc[drift]_std,auroc[offset]_mean,auroc[offset]_std,auroc[organic]_mean,auroc[organic]_std,auroc[spike]_mean,auroc[spike]_std,fit_s_mean,fit_s_std,params_mean,params_std,train_nll_mean,train_nll_std,n_seeds,seeds,axis:model.vtree
cmapss_structure,vtree-chain_perm_features,cmapss:FD001,ad,"RegionGraphPC [chain_perm_features, K=8]",0.7918817427184344,0.003164253030742924,0.5919363425568976,0.007285689850369677,0.5063112118007829,0.019367552773616875,0.5901377824881054,0.029452838147688093,0.9849469097465722,0.009104172779720147,0.9827580342275887,0.004739078284999262,0.9999152728260311,2.2142517657349077e-05,0.8047845329696521,0.029434877076727834,19.522727648417156,2.916216767375705,15360.0,0.0,155.03719075520834,2.3888692915266274,3,"[0, 1, 2]",chain_perm_features
cmapss_structure,vtree-chain_perm_features,cmapss:FD001,ad,PC · structural-only score,0.684119088852921,0.003897681482219057,0.274830224608783,0.01041749204808965,0.4734799106260894,0.037291276004832105,0.6065395772500033,0.004847105354307813,0.8562463752878845,0.016620769266324657,0.8537751547327762,0.006208959485042883,0.8088294688475703,0.058975578546149134,0.5848267777078718,0.030399147004344554,,,,,,,3,"[0, 1, 2]",chain_perm_features
cmapss_structure,vtree-chain_grouped,cmapss:FD001,ad,"RegionGraphPC [chain_grouped, K=8]",0.8450152483724777,0.004488279709837697,0.7198941981218843,0.008463386270952203,0.5091524822984392,0.04234751396669263,0.7110957183575305,0.03417541790303161,0.9990847514990335,0.0006249898576537863,0.999244800405369,0.0003663168415014086,0.9999909658916174,8.292704173258167e-06,0.9256042165085422,0.012329358533356833,305.29822039604187,25.31752380251018,138240.0,0.0,83.57030487060547,10.772660122015736,3,"[0, 1, 2]",chain_grouped
cmapss_structure,vtree-chain_grouped,cmapss:FD001,ad,PC · structural-only score,0.7120375023162694,0.0033080098669891166,0.5729085829304682,0.004491602848181653,0.47890743711044514,0.039513773665060384,0.7940589403272259,0.03241465639513081,0.9586136299520017,0.007744375711555259,0.9638415354977368,0.012495550332610671,0.14594237736381704,0.0015776170937960967,0.6101297468445208,0.022303876156529373,,,,,,,3,"[0, 1, 2]",chain_grouped
cmapss_structure,vtree-chain,cmapss:FD001,ad,"RegionGraphPC [chain, K=8]",0.753182494749809,0.008560003611561569,0.5037958577681753,0.010165277790509786,0.5053931072021189,0.010468087793144868,0.5430142732781332,0.01751908286089225,0.95014546077955,0.007616091958134645,0.939140655941236,0.018233687487486848,0.999969399646579,1.6470691541608208e-05,0.728791805494145,0.029290477387387992,17.080053408940632,0.2570595760497328,15360.0,0.0,193.2324676513672,10.801708349972628,3,"[0, 1, 2]",chain
cmapss_structure,vtree-chain,cmapss:FD001,ad,PC · structural-only score,0.5626271933921552,0.009524624350379558,0.19269922342138682,0.005427400857662462,0.4885312408444304,0.04413910139845915,0.5004520305553234,0.007864774595399634,0.6399116216453405,0.023601889099960832,0.6089549410280721,0.017824036368465634,0.6323092395302551,0.07479452481629359,0.5509386648041226,0.018019222393996726,,,,,,,3,"[0, 1, 2]",chain
cmapss_structure,vtree-channel,cmapss:FD001,ad,"RegionGraphPC [channel, K=8]",0.8271068180012059,0.009501532890843357,0.6902986930087556,0.012966024603532625,0.5205906443378497,0.04308442925112953,0.5941654455097521,0.041106316358611415,0.9968060419676265,0.0019633713772396785,0.9967445523109385,0.0011196848485507944,0.9999964144597667,6.210337856743165e-06,0.9437641603034387,0.013399684714611093,224.5021209716797,4.194906605361381,157440.0,0.0,49.71895853678385,9.089457898731945,3,"[0, 1, 2]",channel
cmapss_structure,vtree-channel,cmapss:FD001,ad,PC · structural-only score,0.7177943893014432,0.010996133479391452,0.5303049603271561,0.01285468163071198,0.48862135044930904,0.029026909111343167,0.7880874737873466,0.03163840152689449,0.9252381066301343,0.021292883932340734,0.9138727257385072,0.031352495523025666,0.6401837433994753,0.012272520586797935,0.5176132401144345,0.020967653544177244,,,,,,,3,"[0, 1, 2]",channel
cmapss_structure,vtree-chain_perm_blocks,cmapss:FD001,ad,"RegionGraphPC [chain_perm_blocks, K=8]",0.7514390948303431,0.006640195863990738,0.502071979408771,0.007110123417950918,0.5057673047419152,0.010662955522669241,0.5409872114268608,0.018891958468843683,0.9483434030019054,0.008088773334381755,0.9373280317609055,0.016954611246740497,0.9999621367096081,1.4391063568457926e-05,0.7247927034051189,0.024224177307357632,20.78888527552287,0.2917539639235187,15360.0,0.0,192.0414581298828,0.4001858574335366,3,"[0, 1, 2]",chain_perm_blocks
cmapss_structure,vtree-chain_perm_blocks,cmapss:FD001,ad,PC · structural-only score,0.5607625749385986,0.0032739705728757297,0.1941009364986507,0.010413728667681239,0.49629600618429065,0.040540742244539296,0.5053337090521199,0.0099164131922348,0.6483990043675127,0.006913396033610248,0.6135167490902226,0.008628383424520901,0.5591875022841787,0.09569350054721268,0.5470388526003732,0.015539532771707013,,,,,,,3,"[0, 1, 2]",chain_perm_blocks
cmapss_structure,vtree-forman_rg,cmapss:FD001,ad,"RegionGraphPC [forman_rg, K=8]",0.8336873590855961,0.0011288347455218944,0.6768872565943616,0.01669088387139098,0.5251892752437052,0.041077844949141094,0.6521589665423299,0.04042161266575307,0.9954321150697778,0.00337916084355583,0.9960259344197674,0.0016478426592292546,0.9999496401984143,4.9006289306138865e-05,0.9180161856402371,0.01241412782691767,50.27134442329407,0.5248180948200948,13576.0,0.0,92.88403065999348,7.194633532167694,3,"[0, 1, 2]",forman_rg
cmapss_structure,vtree-forman_rg,cmapss:FD001,ad,PC · structural-only score,0.7344921914736139,0.0071281855461898065,0.5969200385605765,0.003273981551086378,0.47675890853782965,0.019955601847575034,0.8014664842061673,0.015962452768136154,0.9714267887124275,0.011470758435995786,0.9752057480400912,0.009587079398539382,0.22713593833294157,0.05623216462044562,0.665739517606916,0.008569835155454075,,,,,,,3,"[0, 1, 2]",forman_rg
