epoch,value
0,247.27439375590737
1,161.20414754077933
2,141.88837109513454
3,130.6258376959817
4,123.17091912195679
5,118.01205572117479
6,114.67835539329255
7,112.14997049198259
8,110.88843820207737
9,109.03004463354446
10,107.36451149203151
11,106.57510302422854
12,106.07384954210941
13,105.02180750653964
14,105.48907547718186
15,107.09213327505188
16,106.20082301408446
17,106.09334158365577
18,106.26289985526938
19,110.03556606530692
20,110.87577601182213
21,113.99315953101463
22,120.0661282544776
23,117.47984561451442
24,115.23827191300563
25,118.28838202723483
26,116.06305968315255
27,114.5960490264604
28,113.5261662993404
29,114.84040896266079
30,113.82734400671687
31,110.60970984821283
32,112.15842903295852
33,114.52081459780948
34,114.12718286640477
35,117.76050696850724
36,116.3656788586218
37,116.38487820255733
38,115.53960419566509
39,122.02648684063571
40,118.34747526460875
41,113.67847311384061
42,115.91276683266537
43,117.1346053327189
44,122.17865775384163
45,121.89951514548751
46,123.48989328770196
47,130.0023996162054
48,125.80872600822232
49,120.40802295302623
