epoch,value
0,28320.756290395395
1,1217.3126477563064
2,262.6821417292983
3,248.77365745278118
4,246.55213548997162
5,245.68806399069732
6,242.615844339557
7,244.45439935325874
8,242.39257441054514
9,242.6899887765213
10,242.72840533641167
11,242.2608095723393
12,242.20434640332567
13,242.09538482693944
14,241.90078301267042
15,244.1755510615218
16,242.42273801029827
17,242.7851409094211
18,243.90027227911673
19,247.50409335718544
20,258.66032755379587
21,260.1779842927793
22,264.2579261599249
23,255.22712469132122
24,261.94342615539256
25,261.824392451634
26,257.5459579186496
27,267.82353226607694
28,264.9118519844238
29,261.68848190078205
30,260.73245421988247
31,265.3111537834105
32,266.2466492904122
33,267.61711062953617
34,271.15417118598657
35,266.48497748378054
36,265.28758510450456
37,263.5476867979002
38,263.6989591890012
39,266.12482694470503
40,264.5022937417077
41,266.1427736146448
42,263.97279855232176
43,262.930311129442
44,265.98217503331597
45,265.081344686282
46,263.60486417160206
47,262.5369346499957
48,262.01080078492055
49,280.9083416969079
50,271.8791373202124
51,267.0814503148453
52,269.6123439865122
53,266.80031644043413
54,263.5065541815362
55,263.1093138571206
56,265.9892012737891
57,263.4759128015483
58,264.93210951607745
59,266.5279426190694
