epoch,value
0,32526.730418084844
1,2524.237939302136
2,300.6464210959813
3,264.3006624615985
4,260.8434297777578
5,257.94843652276643
6,258.7165496543068
7,256.39296880347524
8,254.9100881162695
9,254.390598015981
10,254.7074988017355
11,256.61951578517403
12,257.706259287913
13,266.9305524224781
14,256.1108622981027
15,256.68654839784864
16,257.54839980415903
17,254.85210337308732
18,261.26124186107046
19,257.19023421457433
20,255.48985090519508
21,255.3602072947256
22,259.04578380391393
23,255.42614206623077
24,256.4499775949284
25,258.11092318122155
26,267.8754208447945
27,255.3690985761707
28,257.0268420160605
29,255.32533335198326
30,255.2612454051149
31,262.87144886220653
32,255.66172825915362
33,255.51281986521641
34,258.9688918246905
35,256.0109978751042
36,256.36359258853906
37,254.21528242511286
38,258.6955035376274
39,268.0442944795195
40,260.24772546267184
41,259.66187007073745
42,261.89067014724685
43,257.83039093672915
44,260.0535804894019
45,259.4754570726881
46,261.0036084952172
47,262.0084384694744
48,257.5658178757073
49,273.3794566988228
50,317.1867293485803
51,263.14052019379756
52,267.8600449921687
53,261.5827747810913
54,258.3855707731838
55,256.278529628694
56,257.9270919487866
57,276.7731990686419
58,263.9904491252208
59,267.2074407653861
