variant,method_name,mask,score,loc_ap_mean,loc_ap_std,loc_ap_n_mean,loc_ap_n_std,loc_unique_top1_accuracy_mean,loc_unique_top1_accuracy_std,end_to_end_unique_top1_mean,end_to_end_unique_top1_std,loc_n_ambiguous_mean,loc_n_ambiguous_std,loc_n_abstained_no_alarm_mean,loc_n_abstained_no_alarm_std,loc_n_no_observed_target_mean,loc_n_no_observed_target_std,loc_n_all_observed_are_targets_mean,loc_n_all_observed_are_targets_std,n_seeds,seeds,numerically_flat_frac,threshold_infinite_frac,depends_on_values_frac,depends_on_fault_frac
chow_liu_leaf6,circuit,bank0:0-1-2-4-5-7-8,conditional_max,0.7780847555179903,0.032019253979367425,338.8,57.50391291034028,0.7205395311803968,0.0427324047643322,0.5077861758039123,0.031665152704152336,0.0,0.0,97.8,14.024977718342372,104.8,13.516656391282572,0.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,bank0:0-1-2-4-5-7-8,independent,0.7560076302716963,0.034581844108577814,338.8,57.50391291034028,0.6846064198062141,0.047495947596346205,0.4211709927582974,0.05970218771360397,0.0,0.0,134.6,12.876334882255899,104.8,13.516656391282572,0.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,bank0:0-1-2-4-5-7-8,joint,0.7780847555179903,0.032019253979367425,338.8,57.50391291034028,0.7205395311803968,0.0427324047643322,0.4695454193564448,0.05469216373166228,0.0,0.0,110.2,7.62889244910426,104.8,13.516656391282572,0.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,bank0:0-1-2-4-5-7-8,marginal_max,0.7560076302716963,0.034581844108577814,338.8,57.50391291034028,0.6846064198062141,0.047495947596346205,0.466988764646561,0.03579786655564317,0.0,0.0,118.8,11.966620241321273,104.8,13.516656391282572,0.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,bank0:0-1-2-4-5-7-8,relational_max,0.6034166895664993,0.024945416385728825,338.8,57.50391291034028,0.5099509995604794,0.03780189058128516,0.28533700767641335,0.026630180105881404,11.0,11.135528725660043,167.4,36.40467003009367,104.8,13.516656391282572,0.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,bank1:3,conditional_max,0.7528843077309816,0.025112993477853913,435.6,67.70007385520344,0.7150453112309917,0.028920159680091477,0.6538893304521329,0.023493724661046607,0.0,0.0,131.6,34.26076473168688,8.0,2.8284271247461903,0.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,bank1:3,independent,0.688081446344788,0.0344690831744014,435.6,67.70007385520344,0.6351521952682818,0.04022470399043313,0.4753843621982098,0.10179894665481991,0.0,0.0,200.8,50.41527546289914,8.0,2.8284271247461903,0.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,bank1:3,joint,0.7528843077309816,0.025112993477853913,435.6,67.70007385520344,0.7150453112309917,0.028920159680091477,0.5541347805550457,0.06927921155502506,0.0,0.0,178.4,35.70434147271169,8.0,2.8284271247461903,0.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,bank1:3,marginal_max,0.688081446344788,0.0344690831744014,435.6,67.70007385520344,0.6351521952682818,0.04022470399043313,0.5754899846661425,0.03681840515196504,0.0,0.0,158.6,21.23205124334434,8.0,2.8284271247461903,0.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,bank1:3,relational_max,0.5700623046227161,0.02474646772733148,435.6,67.70007385520344,0.5588718351376074,0.03757793395392148,0.43431264636783196,0.03637757083264112,9.8,9.338094023943002,199.4,50.14778160596937,8.0,2.8284271247461903,0.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,bank2:6-10,conditional_max,0.7529521278178833,0.027009029956173262,422.4,66.0779842307557,0.7142669593367227,0.0291829209924316,0.631118066668431,0.021745113252723196,0.0,0.0,130.6,32.02030605725061,21.2,3.5637059362410923,0.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,bank2:6-10,independent,0.6887378984493522,0.036761135917141884,422.4,66.0779842307557,0.6350101864857033,0.04044276415050083,0.44785419434785306,0.06569951289646472,0.0,0.0,209.2,41.40893623361991,21.2,3.5637059362410923,0.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,bank2:6-10,joint,0.7529521278178833,0.027009029956173262,422.4,66.0779842307557,0.7142669593367227,0.0291829209924316,0.5626947023902433,0.04635916876382668,0.0,0.0,157.2,33.4619186538967,21.2,3.5637059362410923,0.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,bank2:6-10,marginal_max,0.6887378984493522,0.036761135917141884,422.4,66.0779842307557,0.6350101864857033,0.04044276415050083,0.5563926972371013,0.035528290191747566,0.0,0.0,154.2,18.102486017119308,21.2,3.5637059362410923,0.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,bank2:6-10,relational_max,0.6000649705486454,0.03028581753791695,422.4,66.0779842307557,0.5849182690196532,0.033268587988871993,0.436553444326966,0.045361458532480865,0.0,0.0,212.2,58.793707146258434,21.2,3.5637059362410923,0.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,full,conditional_max,0.7353061614425433,0.023741974850857345,443.6,67.86972815622588,0.7047297858035553,0.02775441801226547,0.6572004595686096,0.023417838540256638,0.0,0.0,137.2,33.759443123369195,0.0,0.0,0.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,full,independent,0.6749293175902218,0.03438447136678317,443.6,67.86972815622588,0.6262296374542564,0.037921585903038735,0.48726933914333975,0.0833875255464915,0.0,0.0,208.0,38.4642691338338,0.0,0.0,0.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,full,joint,0.7353061614425433,0.023741974850857345,443.6,67.86972815622588,0.7047297858035553,0.02775441801226547,0.5724912446019899,0.06299792573193704,0.0,0.0,175.6,34.30451865279558,0.0,0.0,0.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,full,marginal_max,0.6749293175902218,0.03438447136678317,443.6,67.86972815622588,0.6262296374542564,0.037921585903038735,0.5796143369231151,0.03875874206749352,0.0,0.0,164.2,19.94241710525582,0.0,0.0,0.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,full,relational_max,0.5608312304193395,0.02585811316628838,443.6,67.86972815622588,0.5575047329757756,0.03381579550533931,0.4490574964635254,0.04193227794956396,7.6,8.264381404557755,202.4,52.026916110797885,0.0,0.0,0.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,random1:1,conditional_max,0.7434367310308178,0.02643034072787539,435.6,66.4326726844555,0.7100724037861066,0.032484447797440495,0.6522216130808683,0.02347409622038617,0.0,0.0,128.4,25.04595775769016,8.0,2.0,0.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,random1:1,independent,0.685008589733226,0.034583774290710245,435.6,66.4326726844555,0.6346001168039901,0.04123325331338667,0.482285573092204,0.08255846831838987,0.0,0.0,201.8,33.59613072959444,8.0,2.0,0.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,random1:1,joint,0.7434367310308178,0.02643034072787539,435.6,66.4326726844555,0.7100724037861066,0.032484447797440495,0.5694568519751837,0.05685209280715797,0.0,0.0,166.4,27.808272150566996,8.0,2.0,0.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,random1:1,marginal_max,0.685008589733226,0.034583774290710245,435.6,66.4326726844555,0.6346001168039901,0.04123325331338667,0.5698919423106436,0.037956144508797196,0.0,0.0,162.2,17.75387281693772,8.0,2.0,0.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,random1:1,relational_max,0.5681450112320042,0.02629943073186568,435.6,66.4326726844555,0.5563101125014072,0.03779413197298886,0.4401163833704095,0.03245062256811688,7.6,9.126883367283709,203.2,41.54756310543376,8.0,2.0,0.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,random3:5-8-14,conditional_max,0.7453772576806803,0.030932977532355323,412.2,62.19887458788945,0.7015252911035497,0.04090520383172636,0.6096784776088188,0.021103328122690376,0.0,0.0,123.8,21.833460559425756,31.4,5.856620185738529,0.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,random3:5-8-14,independent,0.697537949004014,0.039609262813150796,412.2,62.19887458788945,0.6348038138014284,0.04637159345422637,0.4595102179294413,0.07253079917598877,0.0,0.0,193.2,25.984610830258745,31.4,5.856620185738529,0.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,random3:5-8-14,joint,0.7453772576806803,0.030932977532355323,412.2,62.19887458788945,0.7015252911035497,0.04090520383172636,0.540815947177533,0.06835112129713364,0.0,0.0,155.4,28.40422503783548,31.4,5.856620185738529,0.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,random3:5-8-14,marginal_max,0.697537949004014,0.039609262813150796,412.2,62.19887458788945,0.6348038138014284,0.04637159345422637,0.5457910740827187,0.03729339586292509,0.0,0.0,151.6,13.390294993016397,31.4,5.856620185738529,0.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,random3:5-8-14,relational_max,0.5651481332639973,0.040835212834943645,412.2,62.19887458788945,0.520034839227961,0.055935647392204975,0.3650022510845079,0.04077328876818585,7.6,8.203657720797473,213.0,47.7283982551269,31.4,5.856620185738529,0.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,random7:3-4-8-10-11-12-14,conditional_max,0.8039705093415325,0.019278540632321456,337.0,57.458680806297664,0.7459949688249568,0.024305465159641194,0.5250616787866298,0.01359390538759354,0.0,0.0,94.0,19.0,106.6,11.304866208850065,0.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
