variant,method_name,mask,score,alpha_mean,alpha_std,fpr_mean,fpr_std,power_mean,power_std,threshold_mean,threshold_std,trial_fpr_mean_mean,trial_fpr_mean_std,trial_fpr_q05_mean,trial_fpr_q05_std,trial_fpr_q95_mean,trial_fpr_q95_std,trial_fpr_exceeds_alpha_frac_mean,trial_fpr_exceeds_alpha_frac_std,trial_power_mean_mean,trial_power_mean_std,trial_infinite_threshold_frac_mean,trial_infinite_threshold_frac_std,trial_calibration_objects_mean,trial_calibration_objects_std,n_seeds,seeds,numerically_flat_frac,threshold_infinite_frac,depends_on_values_frac,depends_on_fault_frac
chow_liu_leaf6,circuit,bank0:0-1-2-4-5-7-8,conditional_max,0.1,0.0,0.11367875012499344,0.09623940880849681,0.5680168614074135,0.04400524252492279,25.294704055786134,2.3730129258840473,0.11367875012499347,0.09623940880849682,0.11367875012499344,0.09623940880849681,0.11367875012499344,0.09623940880849681,0.4,0.5477225575051662,0.5680168614074134,0.04400524252492276,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,bank0:0-1-2-4-5-7-8,independent,0.1,0.0,0.09093171017777177,0.07570751192924079,0.4707103232317986,0.09554161165006174,-29.967880249023438,23.65927963960874,0.0909317101777718,0.07570751192924083,0.09093171017777177,0.07570751192924079,0.09093171017777177,0.07570751192924079,0.6,0.5477225575051662,0.4707103232317985,0.09554161165006171,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,bank0:0-1-2-4-5-7-8,joint,0.1,0.0,0.08640032450920988,0.06555358921247413,0.52688778837819,0.0787133531809629,-41.94073295593262,14.512773330603197,0.0864003245092099,0.06555358921247413,0.08640032450920988,0.06555358921247413,0.08640032450920988,0.06555358921247413,0.2,0.447213595499958,0.52688778837819,0.07871335318096292,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,bank0:0-1-2-4-5-7-8,marginal_max,0.1,0.0,0.09855790156951466,0.08766518688084829,0.5177461242477923,0.05007441431390561,27.77779655456543,4.095348492186998,0.09855790156951465,0.0876651868808483,0.09855790156951466,0.08766518688084829,0.09855790156951466,0.08766518688084829,0.2,0.44721359549995804,0.5177461242477921,0.050074414313905566,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,bank0:0-1-2-4-5-7-8,relational_max,0.1,0.0,0.04715289828898067,0.04253210874086669,0.38492789401465893,0.04576437494113691,4.232897186279297,1.9906371785420962,0.047152898288980685,0.04253210874086671,0.04715289828898067,0.04253210874086669,0.04715289828898067,0.04253210874086669,0.2,0.44721359549995804,0.3849278940146589,0.04576437494113691,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,bank1:3,conditional_max,0.1,0.0,0.10990563863238316,0.13226697484193295,0.6913343137949003,0.04618706538801561,27.33629455566406,2.486360237634282,0.10990563863238316,0.13226697484193295,0.10990563863238316,0.13226697484193295,0.10990563863238316,0.13226697484193295,0.4,0.5477225575051662,0.6913343137949003,0.0461870653880156,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,bank1:3,independent,0.1,0.0,0.10942178366468644,0.10278328665642927,0.5206017838999439,0.1415404763269269,172.71283264160155,53.40323180057269,0.10942178366468643,0.10278328665642927,0.10942178366468644,0.10278328665642927,0.10942178366468644,0.10278328665642927,0.6,0.5477225575051662,0.5206017838999439,0.14154047632692696,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,bank1:3,joint,0.1,0.0,0.05856367916860046,0.06631102517990103,0.5751797635753728,0.08854147727381925,145.62334899902345,19.55076966812158,0.05856367916860047,0.06631102517990105,0.05856367916860046,0.06631102517990103,0.05856367916860046,0.06631102517990103,0.4,0.5477225575051662,0.5751797635753729,0.08854147727381922,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,bank1:3,marginal_max,0.1,0.0,0.11696690874230824,0.06865333401223918,0.6231375675551576,0.033543803264818414,28.880727005004882,3.01793637393322,0.11696690874230824,0.06865333401223916,0.11696690874230824,0.06865333401223918,0.11696690874230824,0.06865333401223918,0.8,0.4472135954999579,0.6231375675551576,0.033543803264818414,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,bank1:3,relational_max,0.1,0.0,0.08240843489867102,0.08377211288190982,0.5232193557851136,0.06909548636240888,4.6029863357543945,1.8677514160360218,0.082408434898671,0.08377211288190982,0.08240843489867102,0.08377211288190982,0.08240843489867102,0.08377211288190982,0.2,0.44721359549995804,0.5232193557851135,0.06909548636240886,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
