epoch,value
0,25.958967208862305
1,24.7498779296875
2,24.032773971557617
3,23.6541690826416
4,23.47425079345703
5,23.3822021484375
6,23.326066970825195
7,23.296714782714844
8,23.245258331298828
9,23.210012435913086
10,23.15459442138672
11,23.077125549316406
12,22.98133087158203
13,22.871871948242188
14,22.7533016204834
15,22.639921188354492
16,22.523099899291992
17,22.446969985961914
18,22.336400985717773
19,22.233844757080078
20,22.110319137573242
21,22.008943557739258
22,21.875144958496094
23,21.722572326660156
24,21.599519729614258
25,21.484630584716797
26,21.355077743530273
27,21.273426055908203
28,21.199979782104492
29,21.149492263793945
30,21.112123489379883
31,21.065500259399414
32,21.034744262695312
33,20.986631393432617
34,20.945728302001953
35,20.920400619506836
36,20.8902587890625
37,20.868520736694336
38,20.849145889282227
39,20.804697036743164
40,20.748891830444336
41,20.650806427001953
42,20.591535568237305
43,20.550121307373047
44,20.50371742248535
45,20.482763290405273
46,20.452024459838867
47,20.416343688964844
48,20.381139755249023
49,20.373943328857422
50,20.329782485961914
51,20.2159366607666
52,20.13678741455078
53,20.073936462402344
54,20.03673553466797
55,19.983535766601562
56,19.97304916381836
57,19.972412109375
58,19.97471809387207
59,19.97532081604004
60,19.993820190429688
61,19.984420776367188
62,19.955238342285156
63,19.968303680419922
64,19.9698543548584
65,19.964235305786133
66,19.949909210205078
67,19.97247314453125
68,19.961610794067383
69,19.956588745117188
70,19.953025817871094
71,19.967784881591797
72,19.9512882232666
73,19.950952529907227
74,19.948192596435547
75,19.94403839111328
76,19.923490524291992
77,19.943872451782227
78,19.952322006225586
79,19.951539993286133
80,19.95447540283203
81,19.940500259399414
82,19.92313003540039
83,19.919404983520508
84,19.959367752075195
85,19.941486358642578
86,19.934104919433594
87,19.929174423217773
88,19.940439224243164
89,19.943567276000977
90,19.93622398376465
91,19.932710647583008
92,19.947114944458008
93,19.9194278717041
94,19.914260864257812
95,19.941970825195312
96,19.95488166809082
97,19.926939010620117
98,19.917926788330078
99,19.94202423095703
100,19.939186096191406
101,19.930540084838867
102,19.924551010131836
103,19.914257049560547
104,19.932315826416016
105,19.924678802490234
106,19.927858352661133
107,19.939422607421875
108,19.928083419799805
109,19.928794860839844
110,19.926572799682617
111,19.92595672607422
112,19.915672302246094
113,19.924816131591797
114,19.935434341430664
115,19.945695877075195
116,19.935871124267578
117,19.91436004638672
118,19.916149139404297
119,19.913673400878906
120,19.925003051757812
121,19.92202377319336
122,19.91590690612793
123,19.92081069946289
124,19.914810180664062
125,19.915449142456055
126,19.907073974609375
127,19.8875789642334
128,19.90393829345703
129,19.90199089050293
130,19.885828018188477
131,19.867542266845703
132,19.90576171875
133,19.8771915435791
134,19.87058448791504
135,19.88346290588379
136,19.897340774536133
137,19.90573501586914
138,19.859956741333008
139,19.852502822875977
140,19.886985778808594
141,19.889286041259766
142,19.88549041748047
143,19.880477905273438
144,19.877098083496094
145,19.888221740722656
146,19.88605308532715
147,19.905977249145508
148,19.87113380432129
149,19.872652053833008
