variant,method_name,mask,score,seed,auroc,query_s,cost_node_evaluations,parameters
matched,gmm_fitted,random7:3-4-8-10-11-12-14,conditional_max,11,0.7701833408782255,0.3129264229974069,1353600,
matched,gmm_fitted,random7:3-4-8-10-11-12-14,relational_max,11,0.7719126301493888,0.3129264229974069,1353600,
matched,circuit,bank0:0-1-2-4-5-7-8,joint,11,0.7206903576278859,1.294478921998234,23652280,
matched,circuit,bank0:0-1-2-4-5-7-8,independent,11,0.7165980081484835,1.294478921998234,23652280,
matched,circuit,bank0:0-1-2-4-5-7-8,marginal_max,11,0.7186985061113627,1.294478921998234,23652280,
matched,circuit,bank0:0-1-2-4-5-7-8,conditional_max,11,0.7266455409687641,1.294478921998234,23652280,
matched,circuit,bank0:0-1-2-4-5-7-8,relational_max,11,0.6334495246717972,1.294478921998234,23652280,
matched,gaussian_fitted,bank0:0-1-2-4-5-7-8,joint,11,0.7516591217745586,0.196188408001035,1353600,
matched,gaussian_fitted,bank0:0-1-2-4-5-7-8,independent,11,0.7018220914440924,0.196188408001035,1353600,
matched,gaussian_fitted,bank0:0-1-2-4-5-7-8,marginal_max,11,0.7016817564508827,0.196188408001035,1353600,
matched,gaussian_fitted,bank0:0-1-2-4-5-7-8,conditional_max,11,0.75019692168402,0.196188408001035,1353600,
matched,gaussian_fitted,bank0:0-1-2-4-5-7-8,relational_max,11,0.7607763693979176,0.196188408001035,1353600,
matched,gmm_fitted,bank0:0-1-2-4-5-7-8,joint,11,0.7437052965142599,0.3451960060010606,1353600,
matched,gmm_fitted,bank0:0-1-2-4-5-7-8,independent,11,0.6906994114984156,0.3451960060010606,1353600,
matched,gmm_fitted,bank0:0-1-2-4-5-7-8,marginal_max,11,0.7111905839746492,0.3451960060010606,1353600,
matched,gmm_fitted,bank0:0-1-2-4-5-7-8,conditional_max,11,0.7601063829787233,0.3451960060010606,1353600,
matched,gmm_fitted,bank0:0-1-2-4-5-7-8,relational_max,11,0.7601788139429606,0.3451960060010606,1353600,
matched,circuit,bank1:3,joint,11,0.7682933454051607,1.233070932001283,23652280,
matched,circuit,bank1:3,independent,11,0.7597600724309642,1.233070932001283,23652280,
matched,circuit,bank1:3,marginal_max,11,0.7709167043911272,1.233070932001283,23652280,
matched,circuit,bank1:3,conditional_max,11,0.7815436849253056,1.233070932001283,23652280,
matched,circuit,bank1:3,relational_max,11,0.687987777274785,1.233070932001283,23652280,
matched,gaussian_fitted,bank1:3,joint,11,0.8358397464916252,0.9336332679995394,3948000,
matched,gaussian_fitted,bank1:3,independent,11,0.76584427342689,0.9336332679995394,3948000,
matched,gaussian_fitted,bank1:3,marginal_max,11,0.7743028519692169,0.9336332679995394,3948000,
matched,gaussian_fitted,bank1:3,conditional_max,11,0.8398551380715256,0.9336332679995394,3948000,
matched,gaussian_fitted,bank1:3,relational_max,11,0.8330058850158443,0.9336332679995394,3948000,
matched,gmm_fitted,bank1:3,joint,11,0.8331054775916704,1.7730822680023266,3948000,
matched,gmm_fitted,bank1:3,independent,11,0.7664010864644636,1.7730822680023266,3948000,
matched,gmm_fitted,bank1:3,marginal_max,11,0.7746016296966953,1.7730822680023266,3948000,
matched,gmm_fitted,bank1:3,conditional_max,11,0.8406156631960163,1.7730822680023266,3948000,
matched,gmm_fitted,bank1:3,relational_max,11,0.8354232684472612,1.7730822680023266,3948000,
matched,circuit,bank2:6-10,joint,11,0.7627863286555002,1.1264259449999372,23652280,
matched,circuit,bank2:6-10,independent,11,0.7527863286555002,1.1264259449999372,23652280,
matched,circuit,bank2:6-10,marginal_max,11,0.764895880488909,1.1264259449999372,23652280,
matched,circuit,bank2:6-10,conditional_max,11,0.7752897238569488,1.1264259449999372,23652280,
matched,circuit,bank2:6-10,relational_max,11,0.7060887279311906,1.1264259449999372,23652280,
matched,gaussian_fitted,bank2:6-10,joint,11,0.8084902670891806,0.6721055439993506,3421600,
matched,gaussian_fitted,bank2:6-10,independent,11,0.740921231326392,0.6721055439993506,3421600,
matched,gaussian_fitted,bank2:6-10,marginal_max,11,0.7352693526482571,0.6721055439993506,3421600,
matched,gaussian_fitted,bank2:6-10,conditional_max,11,0.8094318696242644,0.6721055439993506,3421600,
matched,gaussian_fitted,bank2:6-10,relational_max,11,0.8140629244001811,0.6721055439993506,3421600,
matched,gmm_fitted,bank2:6-10,joint,11,0.7918809416025351,1.527470914999867,3421600,
matched,gmm_fitted,bank2:6-10,independent,11,0.7222702580353101,1.527470914999867,3421600,
matched,gmm_fitted,bank2:6-10,marginal_max,11,0.7524400181077411,1.527470914999867,3421600,
matched,gmm_fitted,bank2:6-10,conditional_max,11,0.8153802625622454,1.527470914999867,3421600,
matched,gmm_fitted,bank2:6-10,relational_max,11,0.801595744680851,1.527470914999867,3421600,
matched,circuit,single_sensor_0,joint,11,0.557193300135808,1.1947841250002966,23652280,
matched,circuit,single_sensor_0,independent,11,0.557193300135808,1.1947841250002966,23652280,
matched,circuit,single_sensor_0,marginal_max,11,0.557193300135808,1.1947841250002966,23652280,
matched,circuit,single_sensor_0,conditional_max,11,0.557193300135808,1.1947841250002966,23652280,
matched,circuit,single_sensor_0,relational_max,11,0.5,1.1947841250002966,23652280,
matched,gaussian_fitted,single_sensor_0,joint,11,0.5575780896333182,0.002354666001338046,37600,
matched,gaussian_fitted,single_sensor_0,independent,11,0.5575780896333182,0.002354666001338046,37600,
matched,gaussian_fitted,single_sensor_0,marginal_max,11,0.5575780896333182,0.002354666001338046,37600,
matched,gaussian_fitted,single_sensor_0,conditional_max,11,0.5575780896333182,0.002354666001338046,37600,
matched,gaussian_fitted,single_sensor_0,relational_max,11,0.5,0.002354666001338046,37600,
matched,gmm_fitted,single_sensor_0,joint,11,0.5581665912177456,0.0030381609976757318,37600,
matched,gmm_fitted,single_sensor_0,independent,11,0.5581665912177456,0.0030381609976757318,37600,
matched,gmm_fitted,single_sensor_0,marginal_max,11,0.5581665912177456,0.0030381609976757318,37600,
matched,gmm_fitted,single_sensor_0,conditional_max,11,0.5581665912177456,0.0030381609976757318,37600,
matched,gmm_fitted,single_sensor_0,relational_max,11,0.5,0.0030381609976757318,37600,
matched,circuit,full,joint,12,0.808262447379881,1.387107950002246,20884460,
matched,circuit,full,independent,12,0.7936449412106257,1.387107950002246,20884460,
matched,circuit,full,marginal_max,12,0.784212512701408,1.387107950002246,20884460,
matched,circuit,full,conditional_max,12,0.8033822035128466,1.387107950002246,20884460,
matched,circuit,full,relational_max,12,0.7174132675279431,1.387107950002246,20884460,
matched,gaussian_fitted,full,joint,12,0.8430947887937291,0.8607295479996537,3984000,
matched,gaussian_fitted,full,independent,12,0.7844970242415444,0.8607295479996537,3984000,
matched,gaussian_fitted,full,marginal_max,12,0.7822877050370155,0.8607295479996537,3984000,
matched,gaussian_fitted,full,conditional_max,12,0.84256641021919,0.8607295479996537,3984000,
matched,gaussian_fitted,full,relational_max,12,0.8260763536071999,0.8607295479996537,3984000,
matched,gmm_fitted,full,joint,12,0.832474960081289,3.3790888220028137,3984000,
