variant,method_name,mask,score,alpha_mean,alpha_std,fpr_mean,fpr_std,power_mean,power_std,threshold_mean,threshold_std,n_seeds,seeds,numerically_flat_frac,threshold_infinite_frac,depends_on_values_frac,depends_on_fault_frac
matched,circuit,bank0:0-1-2-4-5-7-8,conditional_max,0.10000000000000002,1.6996749443881478e-17,0.034404351296483705,0.028240433232629876,0.4740799641036668,0.07171291012807553,27.828702290852863,2.5114418857463647,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,bank0:0-1-2-4-5-7-8,independent,0.10000000000000002,1.6996749443881478e-17,0.06644539233874087,0.010302185313911548,0.46286017317226963,0.048706506589116925,-40.45332590738932,6.219400276994599,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,bank0:0-1-2-4-5-7-8,joint,0.10000000000000002,1.6996749443881478e-17,0.06724860519014648,0.00902814094329172,0.4781865386320921,0.04768725487379967,-43.46777089436849,7.2189931511284975,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,bank0:0-1-2-4-5-7-8,marginal_max,0.10000000000000002,1.6996749443881478e-17,0.03917033466122228,0.0327584746608407,0.46062867989048056,0.07330746070281977,28.323476791381836,2.47367057817747,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,bank0:0-1-2-4-5-7-8,relational_max,0.10000000000000002,1.6996749443881478e-17,0.03245208321437409,0.04616931016093962,0.1977716249691718,0.09360706920855939,2.196943918863932,1.435873808499992,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,bank1:3,conditional_max,0.10000000000000002,1.6996749443881478e-17,0.0303861002141064,0.021719241607148526,0.5818968928046561,0.027592360115837985,29.235809326171875,1.091293447371263,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,bank1:3,independent,0.10000000000000002,1.6996749443881478e-17,0.08082895259570094,0.0716074969217591,0.5405848866880246,0.10071339727929066,145.33380126953125,22.706434160167323,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,bank1:3,joint,0.10000000000000002,1.6996749443881478e-17,0.07608961610280994,0.06339951683629276,0.5575983474079843,0.10143204354478937,137.73416900634766,23.93204666307793,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,bank1:3,marginal_max,0.10000000000000002,1.6996749443881478e-17,0.028766351075371368,0.016824045960309904,0.5656192988147003,0.02232361195835267,30.06584358215332,1.1284432933422985,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,bank1:3,relational_max,0.10000000000000002,1.6996749443881478e-17,0.01337409737771293,0.017201121102367472,0.3152624615635072,0.06812510847663601,3.247217814127604,1.035440317696365,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,bank2:6-10,conditional_max,0.10000000000000002,1.6996749443881478e-17,0.0303861002141064,0.021719241607148526,0.5609339850072873,0.019927181867696705,29.225870768229168,1.1094808137222225,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,bank2:6-10,independent,0.10000000000000002,1.6996749443881478e-17,0.10566974968544136,0.04598595323983431,0.5480676765750104,0.08355070504397893,59.97793833414713,17.22140696988111,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,bank2:6-10,joint,0.10000000000000002,1.6996749443881478e-17,0.0936482037862046,0.05447347266161877,0.5649205271221014,0.08978772595373209,54.091705322265625,17.41918626412751,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,bank2:6-10,marginal_max,0.10000000000000002,1.6996749443881478e-17,0.028766351075371368,0.016824045960309904,0.5446563910173313,0.0147812305145955,30.06584358215332,1.1284432933422985,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,bank2:6-10,relational_max,0.10000000000000002,1.6996749443881478e-17,0.027831928703014135,0.023492824046001257,0.34427211720735923,0.06854636673891071,2.6259562174479165,0.5073645572763497,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,full,conditional_max,0.10000000000000002,1.6996749443881478e-17,0.0303861002141064,0.021719241607148526,0.5818968928046561,0.027592360115837985,29.235803604125977,1.0912901300266746,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,full,independent,0.10000000000000002,1.6996749443881478e-17,0.07999488120881225,0.042270185359665466,0.5524549341866812,0.07092567134044554,70.1052754720052,19.42345358821868,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,full,joint,0.10000000000000002,1.6996749443881478e-17,0.08082474093206546,0.03695764254916276,0.5678619692038295,0.07267791881635759,61.68791707356771,21.516536069912114,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,full,marginal_max,0.10000000000000002,1.6996749443881478e-17,0.028766351075371368,0.016824045960309904,0.5703046126221128,0.02473921065072129,30.06584358215332,1.1284432933422985,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,full,relational_max,0.10000000000000002,1.6996749443881478e-17,0.01337409737771293,0.017201121102367472,0.3145532417053512,0.06886883718216073,3.2472216288248696,1.0354398241252958,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,random1:1,conditional_max,0.10000000000000002,1.6996749443881478e-17,0.06751090274175252,0.055404758043418344,0.6020075056705596,0.07287635036569334,27.66791280110677,2.371228185466592,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,random1:1,independent,0.10000000000000002,1.6996749443881478e-17,0.07715727283440509,0.02974691749636056,0.5389096569802453,0.0742202348335704,50.589342753092446,21.862377767454586,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,random1:1,joint,0.10000000000000002,1.6996749443881478e-17,0.07947291839537235,0.027908119601869393,0.54981936417648,0.07556304882078146,42.928086598714195,23.77366265203791,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,random1:1,marginal_max,0.10000000000000002,1.6996749443881478e-17,0.06984060068042665,0.06430892544815717,0.591285784460824,0.07370569776244199,28.323476791381836,2.47367057817747,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,random1:1,relational_max,0.10000000000000002,1.6996749443881478e-17,0.005461879786970813,0.005532634578577146,0.29128801178293895,0.06189302148467933,3.3600136439005532,0.8443834480864945,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,random3:5-8-14,conditional_max,0.10000000000000002,1.6996749443881478e-17,0.068393448757215,0.04595715193445291,0.562147632579324,0.0069505461578216006,27.699357350667317,1.886869085433845,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,random3:5-8-14,independent,0.10000000000000002,1.6996749443881478e-17,0.10438831052757973,0.06552884196419492,0.5433693228090338,0.06037287253309795,23.82385317484538,5.787684375680659,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,random3:5-8-14,joint,0.10000000000000002,1.6996749443881478e-17,0.10517819994306155,0.06613791832960506,0.5550289491129791,0.0646972867703178,18.00665028889974,7.173205239975588,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,random3:5-8-14,marginal_max,0.10000000000000002,1.6996749443881478e-17,0.07031979890926011,0.04832707520457145,0.5528576745218244,0.009596513695615538,28.29757817586263,2.245004494547275,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,random3:5-8-14,relational_max,0.10000000000000002,1.6996749443881478e-17,0.02134033765393327,0.03489654553678406,0.23055780650078384,0.07149917945579068,3.0348889032999673,1.1654873005710529,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,random7:3-4-8-10-11-12-14,conditional_max,0.10000000000000002,1.6996749443881478e-17,0.05447017473949443,0.05014186164989833,0.49750519674746174,0.02984407374668426,27.69428253173828,1.9193951935852285,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,random7:3-4-8-10-11-12-14,independent,0.10000000000000002,1.6996749443881478e-17,0.054359254098171446,0.017684550522371348,0.44288773527102254,0.027176687158189352,116.11832936604817,8.616538061740536,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,random7:3-4-8-10-11-12-14,joint,0.10000000000000002,1.6996749443881478e-17,0.04876341101017967,0.021200987901404553,0.4548806094601255,0.03323094373130941,113.51695251464844,8.887894526132838,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,random7:3-4-8-10-11-12-14,marginal_max,0.10000000000000002,1.6996749443881478e-17,0.05919545885467858,0.04983276917155656,0.4813748894944505,0.03583182870034254,28.29757817586263,2.245004494547275,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,random7:3-4-8-10-11-12-14,relational_max,0.10000000000000002,1.6996749443881478e-17,0.04266735187194274,0.07182531877425666,0.22272062941693163,0.11915865601258156,2.0506566365559897,1.064354859591705,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,single_sensor_0,conditional_max,0.10000000000000002,1.6996749443881478e-17,0.07113564675157219,0.05999420243404543,0.16749790327995454,0.07172140096342951,25.48981221516927,1.6797459367864789,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,single_sensor_0,independent,0.10000000000000002,1.6996749443881478e-17,0.07113564675157219,0.05999420243404543,0.16749790327995454,0.07172140096342951,25.48981221516927,1.6797459367864789,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,single_sensor_0,joint,0.10000000000000002,1.6996749443881478e-17,0.07113564675157219,0.05999420243404543,0.16749790327995454,0.07172140096342951,25.48981221516927,1.6797459367864789,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,single_sensor_0,marginal_max,0.10000000000000002,1.6996749443881478e-17,0.07113564675157219,0.05999420243404543,0.16749790327995454,0.07172140096342951,25.48981221516927,1.6797459367864789,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,circuit,single_sensor_0,relational_max,0.10000000000000002,1.6996749443881478e-17,0.0,0.0,0.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0,0.0,0.0,0.0
matched,gaussian_fitted,bank0:0-1-2-4-5-7-8,conditional_max,0.10000000000000002,1.6996749443881478e-17,0.02148138788895625,0.01673983148360811,0.4246270146634739,0.010832446359452118,52.23299699910293,4.844208151842202,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,gaussian_fitted,bank0:0-1-2-4-5-7-8,independent,0.10000000000000002,1.6996749443881478e-17,0.03137600315550799,0.010573545446127548,0.35851053705595803,0.04786188031839152,119.43171941467382,12.975299272464078,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,gaussian_fitted,bank0:0-1-2-4-5-7-8,joint,0.10000000000000002,1.6996749443881478e-17,0.029756254016772954,0.015282956228411967,0.461818434370739,0.06386793187988868,112.94152170348205,9.999773628534605,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,gaussian_fitted,bank0:0-1-2-4-5-7-8,marginal_max,0.10000000000000002,1.6996749443881478e-17,0.02423759776425456,0.022527446782545688,0.275539305553362,0.010712318117101646,52.42989189452059,5.537974066128937,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,gaussian_fitted,bank0:0-1-2-4-5-7-8,relational_max,0.10000000000000002,1.6996749443881478e-17,0.08970523619131159,0.10131586165000218,0.5512696343506526,0.05878988628504776,2.337114157754176,1.0758349845248039,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,gaussian_fitted,bank1:3,conditional_max,0.10000000000000002,1.6996749443881478e-17,0.06442662856730948,0.06399023470087281,0.698517170426184,0.020114333574802988,29.571718104773044,2.075568094829435,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,gaussian_fitted,bank1:3,independent,0.10000000000000002,1.6996749443881478e-17,0.08569962009984074,0.053398866215329556,0.5684774795460962,0.07396169229699869,185.42198735062252,3.166822203683699,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,gaussian_fitted,bank1:3,joint,0.10000000000000002,1.6996749443881478e-17,0.06619163960470296,0.07535078203615571,0.6626523842673305,0.04979081546979491,174.78025799243315,6.803440619961134,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,gaussian_fitted,bank1:3,marginal_max,0.10000000000000002,1.6996749443881478e-17,0.03639237802272922,0.032019579532493486,0.5633001705318804,0.0067433391140229405,29.620944261572077,2.022211220067357,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,gaussian_fitted,bank1:3,relational_max,0.10000000000000002,1.6996749443881478e-17,0.15792519680415723,0.06944457568040716,0.7096274581030585,0.015570187680831245,3.1302281532975784,0.4099471140274391,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,gaussian_fitted,bank2:6-10,conditional_max,0.10000000000000002,1.6996749443881478e-17,0.025188826294388,0.019945270275846323,0.5352239248412425,0.04262258058406095,53.64921843658855,6.037729662417554,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,gaussian_fitted,bank2:6-10,independent,0.10000000000000002,1.6996749443881478e-17,0.0724830956375669,0.027381832730101804,0.4651937588004534,0.07719428657852298,219.11936188837828,17.4248582692211,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,gaussian_fitted,bank2:6-10,joint,0.10000000000000002,1.6996749443881478e-17,0.05667344177557259,0.016016407862643623,0.5906508356710091,0.03828371402623207,209.3001235997699,12.60197214496982,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,gaussian_fitted,bank2:6-10,marginal_max,0.10000000000000002,1.6996749443881478e-17,0.02423759776425456,0.022527446782545688,0.2111590052860428,0.05297329909780205,52.42989189452059,5.537974066128937,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,gaussian_fitted,bank2:6-10,relational_max,0.10000000000000002,1.6996749443881478e-17,0.1035694254278382,0.0630689390111251,0.6396865064371634,0.03483376937222764,3.7180931356951348,0.7212646490105673,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,gaussian_fitted,full,conditional_max,0.10000000000000002,1.6996749443881478e-17,0.02304784328399612,0.018540918501750433,0.5776955963411982,0.03821117968024866,54.4981017605445,5.033699356063638,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,gaussian_fitted,full,independent,0.10000000000000002,1.6996749443881478e-17,0.050409078078979215,0.00466474001126776,0.5004744601072435,0.035475012796158396,214.93106680702763,12.446465647293557,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,gaussian_fitted,full,joint,0.10000000000000002,1.6996749443881478e-17,0.048735306254765964,0.007689328608403548,0.6341277583865765,0.03263021529149662,200.46113196378997,9.674914662338564,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,gaussian_fitted,full,marginal_max,0.10000000000000002,1.6996749443881478e-17,0.02423759776425456,0.022527446782545688,0.36003135259602487,0.0389537095886893,52.42989189452059,5.537974066128937,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,gaussian_fitted,full,relational_max,0.10000000000000002,1.6996749443881478e-17,0.08655393986959231,0.06159716748659835,0.6756405069709107,0.02229727713399903,4.182285147994786,0.8537955860208039,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
matched,gaussian_fitted,random1:1,conditional_max,0.10000000000000002,1.6996749443881478e-17,0.023689717020750137,0.018866958154796845,0.5760218245169849,0.034719083857023526,54.044674947300415,5.159703757749196,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
