epoch,value
0,69.8209968672047
1,68.70830548740638
2,67.51630054608239
3,66.24111293541527
4,65.4713269711271
5,65.01087450433471
6,64.62619233533033
7,64.22403426703414
8,63.83099653819436
9,63.55893574666466
10,63.31958946590219
11,63.15034262874773
12,63.0177523275612
13,62.88160514539453
14,62.77459878030634
15,62.65858891766068
16,62.54788581883195
17,62.418362043535545
18,62.255320883454445
19,62.08148375039444
20,61.86720075505068
21,61.61356656949334
22,61.31151363495481
23,61.00727350021759
24,60.73739871715879
