variant,method_name,mask,query_s_mean,query_s_std,warmup_s_mean,warmup_s_std,cost_passes_mean,cost_passes_std,cost_node_evaluations_mean,cost_node_evaluations_std,cost_n_masks_mean,cost_n_masks_std,cost_output_elements_mean,cost_output_elements_std,cost_peak_boundary_bytes_mean,cost_peak_boundary_bytes_std,n_observed_mean,n_observed_std,oracle_max_error_mean,oracle_max_error_std,n_seeds,seeds,mask_shared_frac
conditional_nll_selection,circuit,single_sensor_0,0.006698874999528925,0.0004038020571679255,0.004186083333176309,0.0002805556509103622,3.0,0.0,180000.0,0.0,1.0,0.0,1600.0,0.0,25600.0,0.0,1.0,0.0,1.0331471761067708e-06,3.641903952722422e-07,3,"[11, 12, 13]",1.0
interface,circuit,bank0:0-1,0.014011485666742374,0.0005513850007656858,0.009052708333304812,0.0002340850652771398,3.0,0.0,320800.0,0.0,1.0,0.0,1600.0,0.0,51200.0,0.0,2.0,0.0,1.9073486328125e-06,4.76837158203125e-07,3,"[11, 12, 13]",1.0
interface,circuit,full,0.013805485999606995,0.0003842913179429743,0.009159125000223867,7.353320776302453e-05,3.0,0.0,320800.0,0.0,1.0,0.0,1600.0,0.0,51200.0,0.0,4.0,0.0,5.086263020833333e-06,7.283807905444845e-07,3,"[11, 12, 13]",1.0
interface,circuit,random1:0,0.013862361000064993,0.00014586573128313896,0.008881569333122266,9.331513588954083e-05,3.0,0.0,320800.0,0.0,1.0,0.0,1600.0,0.0,51200.0,0.0,3.0,0.0,3.4968058268229165e-06,1.5328170078584282e-06,3,"[11, 12, 13]",1.0
interface,circuit,random2:1-2,0.013862791666724661,0.0004943904769991941,0.008827611333193394,0.00014460680520151544,3.0,0.0,320800.0,0.0,1.0,0.0,1600.0,0.0,51200.0,0.0,2.0,0.0,2.0662943522135415e-06,2.753020616481904e-07,3,"[11, 12, 13]",1.0
interface,circuit,random3:1-2-3,0.01400275000014517,0.0006628587902118773,0.009661249666654234,0.0011767861590750513,3.0,0.0,320800.0,0.0,1.0,0.0,1600.0,0.0,51200.0,0.0,1.0,0.0,9.5367431640625e-07,0.0,3,"[11, 12, 13]",1.0
interface,circuit,single_sensor_0,0.013909597333622514,0.00046278713834854317,0.009165972332993988,0.0006254358339423011,3.0,0.0,320800.0,0.0,1.0,0.0,1600.0,0.0,51200.0,0.0,1.0,0.0,9.5367431640625e-07,0.0,3,"[11, 12, 13]",1.0
interface_conditional,circuit,bank0:0-1,0.014234083332970235,0.0002622192543993607,0.008356347333271211,4.767721123020591e-05,3.0,0.0,320800.0,0.0,1.0,0.0,1600.0,0.0,51200.0,0.0,2.0,0.0,3.0199686686197915e-06,1.3765103082409519e-06,3,"[11, 12, 13]",1.0
interface_conditional,circuit,full,0.014280875000016144,0.0001407234087078186,0.008551597333583535,0.00026927905403263376,3.0,0.0,320800.0,0.0,1.0,0.0,1600.0,0.0,51200.0,0.0,4.0,0.0,4.450480143229167e-06,1.1012082465927617e-06,3,"[11, 12, 13]",1.0
interface_conditional,circuit,random1:0,0.014171277666719106,0.00020369731157504116,0.008449416999913714,0.00017964599397645998,3.0,0.0,320800.0,0.0,1.0,0.0,1600.0,0.0,51200.0,0.0,3.0,0.0,3.735224405924479e-06,1.7247624726462925e-06,3,"[11, 12, 13]",1.0
interface_conditional,circuit,random2:1-2,0.01430805533345847,0.00037358267562354416,0.008218361333698946,0.0001409795526330569,3.0,0.0,320800.0,0.0,1.0,0.0,1600.0,0.0,51200.0,0.0,2.0,0.0,1.9073486328125e-06,4.76837158203125e-07,3,"[11, 12, 13]",1.0
interface_conditional,circuit,random3:1-2-3,0.014362583333119497,0.0001716392433631585,0.008220944666694171,0.00011154390977026874,3.0,0.0,320800.0,0.0,1.0,0.0,1600.0,0.0,51200.0,0.0,1.0,0.0,6.357828776041666e-07,2.7530206164819037e-07,3,"[11, 12, 13]",1.0
interface_conditional,circuit,single_sensor_0,0.014297291333605244,0.000635947132490927,0.008426347333321852,0.0003311608897450201,3.0,0.0,320800.0,0.0,1.0,0.0,1600.0,0.0,51200.0,0.0,1.0,0.0,6.357828776041666e-07,2.7530206164819037e-07,3,"[11, 12, 13]",1.0
mixture,circuit,bank0:0-1,0.006012152666698967,0.0002195859074673196,0.0037093746668688254,0.0001353885288976041,3.0,0.0,173600.0,0.0,1.0,0.0,1600.0,0.0,51200.0,0.0,2.0,0.0,1.430511474609375e-06,4.76837158203125e-07,3,"[11, 12, 13]",1.0
mixture,circuit,full,0.006137819333162042,0.0002886904039800709,0.003957096999935554,0.00013517778868885134,3.0,0.0,173600.0,0.0,1.0,0.0,1600.0,0.0,51200.0,0.0,4.0,0.0,3.4968058268229165e-06,5.506041232963808e-07,3,"[11, 12, 13]",1.0
mixture,circuit,random1:0,0.0060431946667449665,0.0001808037565792069,0.003781958666877472,0.00020977638271248362,3.0,0.0,173600.0,0.0,1.0,0.0,1600.0,0.0,51200.0,0.0,3.0,0.0,2.2252400716145835e-06,2.753020616481904e-07,3,"[11, 12, 13]",1.0
mixture,circuit,random2:1-2,0.006212735999724828,0.00022502803092360862,0.0037647499999972447,0.0001781811295229514,3.0,0.0,173600.0,0.0,1.0,0.0,1600.0,0.0,51200.0,0.0,2.0,0.0,1.3510386149088542e-06,4.963078497567493e-07,3,"[11, 12, 13]",1.0
mixture,circuit,random3:1-2-3,0.005958944666417665,0.00023232653689017442,0.003772097000061573,0.00014328803085315568,3.0,0.0,173600.0,0.0,1.0,0.0,1600.0,0.0,51200.0,0.0,1.0,0.0,4.76837158203125e-07,0.0,3,"[11, 12, 13]",1.0
mixture,circuit,single_sensor_0,0.005858361333290911,9.523020266572946e-05,0.003683916666886944,0.00011864943736364225,3.0,0.0,173600.0,0.0,1.0,0.0,1600.0,0.0,51200.0,0.0,1.0,0.0,4.76837158203125e-07,0.0,3,"[11, 12, 13]",1.0
random,circuit,bank0:0-1,0.009463736333600536,0.0005207233593146671,0.0021626246665012636,0.00011947339228581281,5.0,0.0,722000.0,0.0,1.0,0.0,1600.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
random,circuit,full,0.020305819333467905,0.0005798713081121581,0.003076014000119661,0.00017574156222425008,9.0,0.0,1299600.0,0.0,1.0,0.0,1600.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
random,circuit,random1:0,0.01253644466669357,0.0007465583456298609,0.0025629303333213707,2.6747634119767614e-05,7.0,0.0,1010800.0,0.0,1.0,0.0,1600.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
random,circuit,random2:1-2,0.009208680333358643,0.00010070467648361734,0.002124610999999277,2.7704516452746638e-05,5.0,0.0,722000.0,0.0,1.0,0.0,1600.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
random,circuit,random3:1-2-3,0.006303652666550382,0.00014843336810812824,0.0017475276666421753,4.2901801308226825e-05,3.0,0.0,433200.0,0.0,1.0,0.0,1600.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
random,circuit,single_sensor_0,0.006590749666732639,0.0004095746713352312,0.0017360830000446488,7.569273861014689e-05,3.0,0.0,433200.0,0.0,1.0,0.0,1600.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
unblocked,circuit,bank0:0-1,0.010324402666507618,0.0005423286891558153,0.0022680833335471107,4.1187894820191506e-05,5.0,0.0,722000.0,0.0,1.0,0.0,1600.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
unblocked,circuit,full,0.022061319333564217,0.0001985012109156204,0.0033187919998454163,8.566696681747493e-05,9.0,0.0,1299600.0,0.0,1.0,0.0,1600.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
unblocked,circuit,random1:0,0.014826013666303576,0.00045440238469091895,0.0028133193336543627,4.711091224509757e-05,7.0,0.0,1010800.0,0.0,1.0,0.0,1600.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
unblocked,circuit,random2:1-2,0.010047319333049623,0.00026359775334746564,0.0023000556666374905,3.3371227503282756e-05,5.0,0.0,722000.0,0.0,1.0,0.0,1600.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
unblocked,circuit,random3:1-2-3,0.006672069666516715,0.0002999479962127491,0.0018496803331800038,1.354256547711252e-05,3.0,0.0,433200.0,0.0,1.0,0.0,1600.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
unblocked,circuit,single_sensor_0,0.006837389000490172,0.00019405272671777507,0.0019015556666393725,0.0001455066720297075,3.0,0.0,433200.0,0.0,1.0,0.0,1600.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
uniform_wide,circuit,bank0:0-1,0.025103735666865152,0.000764726217558187,0.012927430333244653,0.000470164041333205,3.0,0.0,589600.0,0.0,1.0,0.0,1600.0,0.0,51200.0,0.0,2.0,0.0,2.384185791015625e-06,4.76837158203125e-07,3,"[11, 12, 13]",1.0
uniform_wide,circuit,full,0.024027708333354287,0.0006648993561915558,0.012804110999544113,0.0006605450922675699,3.0,0.0,589600.0,0.0,1.0,0.0,1600.0,0.0,51200.0,0.0,4.0,0.0,5.563100179036458e-06,9.926156995134988e-07,3,"[11, 12, 13]",1.0
uniform_wide,circuit,random1:0,0.024563889000091876,0.0006176874208081292,0.012404472000222691,6.440030449493859e-05,3.0,0.0,589600.0,0.0,1.0,0.0,1600.0,0.0,51200.0,0.0,3.0,0.0,3.6557515462239585e-06,2.753020616481904e-07,3,"[11, 12, 13]",1.0
uniform_wide,circuit,random2:1-2,0.024001610999827488,0.0011049282939036848,0.012601388666856414,0.0001080508123001111,3.0,0.0,589600.0,0.0,1.0,0.0,1600.0,0.0,51200.0,0.0,2.0,0.0,2.2252400716145835e-06,7.283807905444844e-07,3,"[11, 12, 13]",1.0
uniform_wide,circuit,random3:1-2-3,0.024191986333486664,0.0015438227986301581,0.012762999667150629,0.0007237119756615446,3.0,0.0,589600.0,0.0,1.0,0.0,1600.0,0.0,51200.0,0.0,1.0,0.0,8.742014567057291e-07,1.376510308240952e-07,3,"[11, 12, 13]",1.0
uniform_wide,circuit,single_sensor_0,0.02407312499993471,0.001106154290969475,0.012623166666647498,0.00038256505441732115,3.0,0.0,589600.0,0.0,1.0,0.0,1600.0,0.0,51200.0,0.0,1.0,0.0,8.742014567057291e-07,1.376510308240952e-07,3,"[11, 12, 13]",1.0
within_capacity,circuit,bank0:0-1,0.016039347333389742,0.000596927947116721,0.008094194666531015,0.00012875417398756437,3.0,0.0,448800.0,0.0,1.0,0.0,1600.0,0.0,25600.0,0.0,2.0,0.0,2.0662943522135415e-06,7.283807905444844e-07,3,"[11, 12, 13]",1.0
within_capacity,circuit,full,0.04402620833297988,0.04566498191553149,0.008743764000125035,0.0004990044491791752,3.0,0.0,448800.0,0.0,1.0,0.0,1600.0,0.0,25600.0,0.0,4.0,0.0,3.973642985026042e-06,2.7530206164819037e-07,3,"[11, 12, 13]",1.0
within_capacity,circuit,random1:0,0.016386666333649675,0.0015415119951749498,0.008237055666844148,7.200290819132744e-06,3.0,0.0,448800.0,0.0,1.0,0.0,1600.0,0.0,25600.0,0.0,3.0,0.0,3.0199686686197915e-06,2.753020616481904e-07,3,"[11, 12, 13]",1.0
within_capacity,circuit,random2:1-2,0.016073652999693877,0.0012233948019880966,0.00841966666666849,0.0005983592622571657,3.0,0.0,448800.0,0.0,1.0,0.0,1600.0,0.0,25600.0,0.0,2.0,0.0,2.2252400716145835e-06,5.506041232963808e-07,3,"[11, 12, 13]",1.0
within_capacity,circuit,random3:1-2-3,0.015937999666372587,0.0012738943466971458,0.008163666333227107,0.00036763564110531516,3.0,0.0,448800.0,0.0,1.0,0.0,1600.0,0.0,25600.0,0.0,1.0,0.0,9.5367431640625e-07,0.0,3,"[11, 12, 13]",1.0
within_capacity,circuit,single_sensor_0,0.01591369433269089,0.0010015983596095052,0.008100693999949726,7.945056045577654e-05,3.0,0.0,448800.0,0.0,1.0,0.0,1600.0,0.0,25600.0,0.0,1.0,0.0,9.5367431640625e-07,0.0,3,"[11, 12, 13]",1.0
