variant,method,parameters_mean,parameters_std,nodes_mean,nodes_std,fit_s_mean,fit_s_std,optimizer_steps_mean,optimizer_steps_std,epochs_run_mean,epochs_run_std,best_epoch_mean,best_epoch_std,checkpoint_nll_mean,checkpoint_nll_std,final_train_nll_mean,final_train_nll_std,log_partition_mean,log_partition_std,lr_mean,lr_std,epochs_budget_mean,epochs_budget_std,n_seeds,seeds
blocked,model,1488.0,0.0,361.0,0.0,2.5355118910471597,0.6972464904930205,1061.3333333333333,169.76846978556804,132.66666666666666,21.221058723196006,111.66666666666667,28.023799409311604,19.624223709106445,0.34154499158956003,19.534130255381267,0.3643015537412902,-3.9736429850260414e-08,1.2407696243918735e-07,0.02,0.0,150.0,0.0,3,"[11, 12, 13]"
conditional,model,1488.0,0.0,361.0,0.0,9.833493947982788,1.252547235832148,1077.3333333333333,143.18286675902718,134.66666666666666,17.897858344878397,113.33333333333333,24.5017006212494,19.278789520263672,0.3816466172598965,19.11451729138692,0.24662556425486018,1.9868214925130207e-08,1.2407696243918735e-07,0.02,0.0,150.0,0.0,3,"[11, 12, 13]"
conditional_nll_selection,model,1488.0,0.0,361.0,0.0,8.051381429036459,0.9420892762450133,1077.3333333333333,143.18286675902718,134.66666666666666,17.897858344878397,113.33333333333333,24.5017006212494,19.278789520263672,0.3816466172598965,19.11451729138692,0.24662556425486018,1.9868214925130207e-08,1.2407696243918735e-07,0.02,0.0,150.0,0.0,3,"[11, 12, 13]"
interface,model,2688.0,0.0,529.0,0.0,3.0547870794932046,0.8402890447609431,1045.3333333333333,267.8905249039864,130.66666666666666,33.4863156129983,111.0,39.35733730830886,19.236195882161457,0.2126091407477523,19.058681805928547,0.02975714045765407,-1.7881393432617188e-07,1.7881393432617188e-07,0.02,0.0,150.0,0.0,3,"[11, 12, 13]"
interface_conditional,model,2688.0,0.0,529.0,0.0,12.550663868586222,2.26183795666644,1010.6666666666666,180.7244679984792,126.33333333333333,22.5905584998099,108.66666666666667,36.19852667351716,19.043364842732746,0.1494899632419317,18.937740325927734,0.05287537830190199,5.960464477539063e-08,1.5769906706002895e-07,0.02,0.0,150.0,0.0,3,"[11, 12, 13]"
mixture,model,1608.0,0.0,345.0,0.0,2.269707520802816,0.7585976320994502,1021.3333333333334,309.4597442856394,127.66666666666667,38.68246803570492,111.33333333333333,47.64801499887832,18.129212697347004,0.4324015346695133,17.914137204488117,0.04051140041119627,0.0,1.1920928955078125e-07,0.02,0.0,150.0,0.0,3,"[11, 12, 13]"
random,model,1488.0,0.0,361.0,0.0,3.269094705581665,0.17003075133052592,1168.0,55.42562584220407,146.0,6.928203230275509,133.33333333333334,19.139836293274122,19.37391471862793,0.6844572434900544,19.117000579833984,0.41951057492727417,-1.9868214925130207e-08,9.104759881806055e-08,0.02,0.0,150.0,0.0,3,"[11, 12, 13]"
unblocked,model,1488.0,0.0,361.0,0.0,3.4219416777292886,0.4315382821088872,1117.3333333333333,143.18286675902718,139.66666666666666,17.897858344878397,130.33333333333334,32.331615074619044,16.498201370239258,0.5114323566603728,16.376307765642803,0.074968117504788,1.986821492513021e-07,3.2827678604639185e-07,0.02,0.0,150.0,0.0,3,"[11, 12, 13]"
uniform_wide,model,8384.0,0.0,1201.0,0.0,5.996701002120972,0.48330420444434313,858.6666666666666,86.28634499927166,107.33333333333333,10.785793124908958,81.33333333333333,10.785793124908958,19.077754974365234,0.13746119600761236,18.5206561088562,0.2509111828411706,3.9736429850260414e-08,6.88255154120476e-08,0.02,0.0,150.0,0.0,3,"[11, 12, 13]"
within_capacity,model,6416.0,0.0,1033.0,0.0,6.048444986343384,0.5560817391920964,1061.3333333333333,121.15004471040584,132.66666666666666,15.14375558880073,114.66666666666667,28.93671255228094,19.693208694458008,0.45001873197061887,19.05866813659668,0.3348862822417526,8.925174673398335e-08,3.112569821971831e-07,0.02,0.0,150.0,0.0,3,"[11, 12, 13]"
