variant,method_name,mask,score,loc_ap_n_mean,loc_ap_n_std,end_to_end_unique_top1_mean,end_to_end_unique_top1_std,loc_n_ambiguous_mean,loc_n_ambiguous_std,loc_n_abstained_no_alarm_mean,loc_n_abstained_no_alarm_std,loc_n_no_observed_target_mean,loc_n_no_observed_target_std,loc_n_all_observed_are_targets_mean,loc_n_all_observed_are_targets_std,n_seeds,seeds,numerically_flat_frac,threshold_infinite_frac,depends_on_values_frac,depends_on_fault_frac,loc_ap_mean,loc_ap_std,loc_unique_top1_accuracy_mean,loc_unique_top1_accuracy_std
blocked,known_law_oracle,random1:0,relational_max,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
blocked,known_law_oracle,random2:1-2,conditional_max,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
blocked,known_law_oracle,random2:1-2,independent,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
blocked,known_law_oracle,random2:1-2,joint,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
blocked,known_law_oracle,random2:1-2,marginal_max,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
blocked,known_law_oracle,random2:1-2,relational_max,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
blocked,known_law_oracle,random3:1-2-3,conditional_max,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
blocked,known_law_oracle,random3:1-2-3,independent,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
blocked,known_law_oracle,random3:1-2-3,joint,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
blocked,known_law_oracle,random3:1-2-3,marginal_max,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
blocked,known_law_oracle,random3:1-2-3,relational_max,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
blocked,known_law_oracle,single_sensor_0,conditional_max,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
blocked,known_law_oracle,single_sensor_0,independent,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
blocked,known_law_oracle,single_sensor_0,joint,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
blocked,known_law_oracle,single_sensor_0,marginal_max,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
blocked,known_law_oracle,single_sensor_0,relational_max,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
conditional,circuit,bank0:0-1,conditional_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,,,,
conditional,circuit,bank0:0-1,independent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,,,,
