variant,method_name,mask,score,auroc_mean,auroc_std,ap_mean,ap_std,fpr_mean,fpr_std,power_mean,power_std,score_range_mean,score_range_std,n_seeds,seeds,numerically_flat_frac,threshold_infinite_frac,depends_on_values_frac,depends_on_fault_frac
blocked,circuit,bank0:0-1,conditional_max,0.5,0.0,0.5,0.0,0.06166666666666667,0.03752776749732568,0.06166666666666667,0.03752776749732568,14.074270566304525,4.668708417307935,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,bank0:0-1,independent,0.5,0.0,0.5,0.0,0.05833333333333334,0.04010403138505322,0.05833333333333334,0.04010403138505322,23.66234079996745,5.580240839534766,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,bank0:0-1,joint,0.5,0.0,0.5,0.0,0.06166666666666667,0.04252450274057691,0.06166666666666667,0.04252450274057691,23.352270126342773,5.375062735914096,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,bank0:0-1,marginal_max,0.5,0.0,0.5,0.0,0.049999999999999996,0.022912878474779203,0.049999999999999996,0.022912878474779203,14.2562468846639,4.822427317101062,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,bank0:0-1,relational_max,0.5,0.0,0.5,0.0,0.03666666666666667,0.014433756729740642,0.03666666666666667,0.014433756729740642,1.5854687690734863,1.375925466962649,3,"[11, 12, 13]",0.3333333333333333,0.0,0.0,0.0
blocked,circuit,full,conditional_max,0.6447916666666668,0.0069250714496915545,0.6457133867348768,0.009396957081236206,0.055,0.04444097208657795,0.15,0.06557438524302,15.467289288838705,1.8810050341916797,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,full,independent,0.52325,0.0015376524314681475,0.4972313033200897,0.00033524351394342736,0.05333333333333334,0.023094010767585032,0.03333333333333333,0.02309401076758503,45.18905893961588,11.447549917890887,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,full,joint,0.5880666666666666,0.004702016411427474,0.5512840640091009,0.0029219086728285875,0.05333333333333334,0.04645786621588784,0.06333333333333334,0.05619905100029122,44.01218922932943,11.349954750816565,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,full,marginal_max,0.5632458333333333,0.005140317556662559,0.5433273724522537,0.0010559844436690564,0.04833333333333333,0.036170890690351176,0.05666666666666667,0.04725815626252608,16.36610476175944,1.1530917476452465,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,full,relational_max,0.7103166666666666,0.011619530523361688,0.7458625503597455,0.013180594469627492,0.05666666666666667,0.014433756729740645,0.3216666666666667,0.03883726732577015,6.2634843190511065,1.0916292719649594,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,random1:0,conditional_max,0.5,0.0,0.5,0.0,0.056666666666666664,0.04856267428111156,0.056666666666666664,0.04856267428111156,13.91341463724772,4.569920071194153,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,random1:0,independent,0.5,0.0,0.5,0.0,0.04833333333333333,0.036170890690351176,0.04833333333333333,0.036170890690351176,35.35942840576172,11.021793076877278,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,random1:0,joint,0.5,0.0,0.5,0.0,0.05333333333333334,0.04072263907623539,0.05333333333333334,0.04072263907623539,34.69260915120443,10.570790190406186,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
