experiment,variant,dataset,stage,method,K_mean,K_std,params_mean,params_std,param_ratio_mean,param_ratio_std,val_nll_mean,val_nll_std,fit_s_mean,fit_s_std,dependence_nats_mean,dependence_nats_std,best_epoch_mean,best_epoch_std,auroc_mean,auroc_std,ap_mean,ap_std,auroc[decouple]_mean,auroc[decouple]_std,auroc[desync]_mean,auroc[desync]_std,auroc[drift]_mean,auroc[drift]_std,auroc[offset]_mean,auroc[offset]_std,auroc[spike]_mean,auroc[spike]_std,n_seeds,seeds,delta_auroc_mean,delta_auroc_std,delta_nll_frac_mean,delta_nll_frac_std,best_other_auroc_mean,best_other_auroc_std,best_other_nll_mean,best_other_nll_std,candidate_auroc_mean,candidate_auroc_std,candidate_nll_mean,candidate_nll_std
tier1_kill_gate,default,cmapss:FD001,structure_gate,channel_blocked [K=8],8.0,0.0,174240.0,0.0,1.0,0.0,45.294514973958336,12.465245438676725,285.09999999999997,50.446407206063746,5.59659989674886,1.9600726043894527,55.0,4.358898943540674,0.7933558144087782,0.026760321995685985,0.7256698434203873,0.0382300438002277,0.5020409260696775,0.02211257921905069,0.6126328996938658,0.04960214134516006,0.9745490193344432,0.025626681511451532,0.9714823738173878,0.019164936387592788,0.8864597471406603,0.055474185506979884,3,"[0, 1, 2]",,,,,,,,,,,,
tier1_kill_gate,default,cmapss:FD001,structure_gate,channel [K=8],8.0,0.0,174240.0,0.0,1.0,0.0,40.51914278666178,8.255635832827547,404.4666666666667,252.22494589816714,6.0291643142700195,1.8695881966448475,54.333333333333336,6.429100507328637,0.7936722364776285,0.019899742920725123,0.7246567656402126,0.03214220252578763,0.5027959222259691,0.007071808735410229,0.6015129373759082,0.03882657853802429,0.9747483380271035,0.019930885821031488,0.9736301741351342,0.014209328577454295,0.894848852556353,0.05218600915751787,3,"[0, 1, 2]",,,,,,,,,,,,
tier1_kill_gate,default,cmapss:FD001,structure_gate,chow_liu [K=8],8.0,0.0,174240.0,0.0,1.0,0.0,58.344624837239586,8.195312643518081,415.90000000000003,50.76100865822113,34.22483698527018,4.118411919472984,54.666666666666664,7.505553499465135,0.826753515559251,0.02724877792317605,0.7661165430894448,0.03690544533447461,0.5285765610129095,0.03437218574430061,0.7126468594601164,0.029817241182110096,0.9942670194531736,0.007387320807061831,0.9956032361079762,0.004935424430568994,0.8815257768413686,0.056926606613508735,3,"[0, 1, 2]",,,,,,,,,,,,
tier1_kill_gate,default,cmapss:FD001,structure_gate,random [K=8],8.0,0.0,174240.0,0.0,1.0,0.0,70.05892690022786,12.716807178649491,330.0,146.1642911247477,23.9317626953125,4.090171898716404,56.333333333333336,3.055050463303893,0.7993631467873975,0.008818231158100072,0.7235411493176828,0.009796493890174824,0.512515960997932,0.031342936981413355,0.6666095678298755,0.039520011474399985,0.9912359943732053,0.005411686876317325,0.9925224763173865,0.00230554804520915,0.8200356754524641,0.01442723274067234,3,"[0, 1, 2]",,,,,,,,,,,,
tier1_kill_gate,default,cmapss:FD001,structure_gate,VERDICT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[0, 1, 2]",-0.033400000000000006,0.004782478436961322,0.11183333333333333,0.14366669806650853,0.8267533333333333,0.027244332132268092,40.519133333333336,8.255602324684332,0.7933566666666666,0.02675920277835892,45.2945,12.465244893302335
