epoch,value
0,31329.571425140883
1,1251.8419069383965
2,291.22524524125896
3,243.9964819736168
4,229.97742499679816
5,221.90261240474513
6,219.61281147941213
7,222.01230483758644
8,217.6235083908331
9,218.2186104196017
10,219.08279569031762
11,218.73936437387937
12,219.30044980909003
13,219.4590914366675
14,219.48821596239435
15,220.26537135389984
16,221.53921358702613
17,221.75902669937884
18,219.78122523573577
19,218.6355830958632
20,217.6681968814037
21,216.9957598076492
22,216.48477573082096
23,216.3896571925429
24,216.00642420033938
25,215.91661171834977
26,215.7230194592085
27,215.83192368804433
28,215.76273483526512
29,215.5676094430392
30,215.48119166639984
31,215.50628612080558
32,215.54822928006533
33,215.3347668256916
34,215.2591079962058
35,215.23117190501728
36,215.1261399065862
37,215.1880943423412
38,215.01136104396133
39,215.1498140428887
40,215.11869036565062
41,215.12455674468495
42,215.0170943463435
43,215.06602478027344
44,214.9507598876953
45,214.84002735575692
46,214.82197895988088
47,215.04704209624745
48,214.93338012695312
49,214.87755947425717
50,214.87534770027537
51,214.83038955438332
52,214.86481738481365
53,214.90021877601498
54,214.90064977427
55,214.82625042024205
56,214.76876105636848
57,214.704713414927
58,214.74585060995133
59,214.7417902711962
