epoch,value
0,32592.451203077202
1,2826.611236157343
2,296.9985802998598
3,271.0844987548994
4,265.8360651925176
5,261.1911583854421
6,260.852168754199
7,258.9034957626415
8,263.434853580353
9,260.9115844768055
10,261.1067676868348
11,261.5645626438953
12,260.22068414227806
13,260.34267812971353
14,257.3718996443447
15,255.88373353544503
16,258.96595828473204
17,259.5428689610464
18,263.95125770179857
19,265.23939857508844
20,259.88781354477584
21,261.76882870257265
22,261.4868158046118
23,261.2119002351949
24,273.3531230249671
25,275.44506006091734
26,265.0479317256012
27,267.19957284518927
28,266.29774086107454
29,267.8671571276449
30,264.7251996857872
31,264.40759229627616
32,268.0046925911038
33,265.52400976164176
34,266.5756819962969
35,268.0245642853302
36,264.42133568323527
37,268.2345910295996
38,270.9448361892752
39,272.7362967775761
40,271.7111479903791
41,268.8385842100931
42,269.6866338692256
43,271.4042844895519
44,272.6793401680537
45,271.38327217231716
46,275.4807250478655
47,275.8115787882127
48,274.02693621274324
49,278.2713249823741
50,274.77900283989817
51,271.98534867878595
52,271.61454830001117
53,273.9845680843641
54,271.7032191874947
55,269.8666628507592
56,280.1353253352245
57,278.12179227267535
58,272.72773264477155
59,279.80104549363875
