experiment,variant,dataset,stage,method,rmse_mean,rmse_std,mae_mean,mae_std,nasa_mean,nasa_std,crps_mean,crps_std,picp_mean,picp_std,mpiw_mean,mpiw_std,interval_score_mean,interval_score_std,picp_edge_mean,picp_edge_std,mpiw_edge_mean,mpiw_edge_std,interval_score_edge_mean,interval_score_edge_std,calib_err_mean,calib_err_std,pred_sd_mean,pred_sd_std,pit_mean_mean,pit_mean_std,pit_var_mean,pit_var_std,pit_ks_mean,pit_ks_std,pit_var_target_mean,pit_var_target_std,fit_s_mean,fit_s_std,params_mean,params_std,censored_frac_mean,censored_frac_std,n_seeds,seeds,axis:dataset.censor_frac,train_rows_mean,train_rows_std,n_dead_mean,n_dead_std,crps_full_mean,crps_full_std,crps_exact_marginal_mean,crps_exact_marginal_std,crps_imputed_mean,crps_imputed_std,rmse_full_mean,rmse_full_std,rmse_exact_marginal_mean,rmse_exact_marginal_std,rmse_imputed_mean,rmse_imputed_std,picp_exact_marginal_mean,picp_exact_marginal_std,picp_exact_marginal_edge_mean,picp_exact_marginal_edge_std,picp_imputed_mean,picp_imputed_std,picp_imputed_edge_mean,picp_imputed_edge_std,marginal_pit_mean_mean,marginal_pit_mean_std,marginal_pit_var_mean,marginal_pit_var_std,marginal_pit_ks_mean,marginal_pit_ks_std,marginal_pit_var_target_mean,marginal_pit_var_target_std
cmapss_rul,censor_frac-0.2,cmapss:FD001,rul,SurvivalPC (drop censored) [all],27.66420565019912,0.21557979037644245,22.824818440190068,0.19735853626826527,165515.70757597816,2128.9868567408157,12.307036561887202,0.13211629265547067,0.41025185185185187,0.00134611160789339,73.5428148148148,0.6736090866712571,107.84444444444445,0.6013482793576621,0.9789629629629629,0.0011837027766185377,78.5428148148148,0.6736090866712571,83.93896296296298,0.6549707875243662,0.25325037037037035,0.002376200238198922,20.06872622172038,0.2547313998352606,0.5964331769069835,0.004613302452636527,0.07370437018823728,0.0011567022456942392,0.14897764695875262,0.006380099876842988,0.08333333333333333,0.0,142.14473795890808,5.915700420626033,43356.0,0.0,0.1383043130238851,0.032710767446942186,3,"[0, 1, 2]",0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_rul,censor_frac-0.2,cmapss:FD001,rul,SurvivalPC (drop censored) [last],26.8718236784655,0.07684077138518025,21.635101416905723,0.08264831879404644,6800.114597675262,101.71475736109548,14.425378754482336,0.043814983235626936,0.8333333333333334,0.005773502691896263,82.63333333333334,0.2565800719723453,105.3,0.4444097208657838,0.96,0.0,87.63333333333333,0.2565800719723453,102.10000000000001,0.5766281297335428,0.03766666666666666,0.003511884584284246,28.430103937784832,0.09927893701388098,0.4436814220817808,0.005435696319827494,0.06207269816702629,0.0011801216998592807,0.16034702961359273,0.013949833618561802,0.08333333333333333,0.0,142.14473795890808,5.915700420626033,43356.0,0.0,0.1383043130238851,0.032710767446942186,3,"[0, 1, 2]",0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_rul,censor_frac-0.2,cmapss:FD001,rul,SurvivalPC (exact censored lik.) [all],26.1855805509706,0.22653975529829537,21.24376162931654,0.4265725158417682,188012.87099018204,13999.130688705178,11.44207022648627,0.1386803052097964,0.40515555555555555,0.0028444444444444272,70.61214814814815,1.4190415359172641,105.60711111111111,0.45371051846733784,0.9751703703703704,0.0035614765514232006,75.61214814814815,1.4190415359172641,81.45274074074075,0.5672966142677631,0.2320414814814815,0.004995660997964572,19.08352216084798,0.31487073563039636,0.5564683714122024,0.011308698454542666,0.07690214435953018,0.0013954581237956489,0.08984887712120682,0.01804041752189802,0.08333333333333333,0.0,161.94287967681885,3.916460525974818,43356.0,0.0,0.1383043130238851,0.032710767446942186,3,"[0, 1, 2]",0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_rul,censor_frac-0.2,cmapss:FD001,rul,SurvivalPC (exact censored lik.) [last],27.612667207112825,0.15229157132225576,21.719977210362753,0.1599524503224514,10260.128774076873,1294.8703980821977,14.978136339128271,0.1523055594162855,0.83,0.0,81.25,1.0037429949942362,108.01666666666667,1.5939991635296868,0.9533333333333333,0.005773502691896262,86.25,1.0037429949942362,104.58333333333333,1.4868871286460639,0.07033333333333333,0.007023769168568486,28.72294743855794,0.5201729075660467,0.3989618928451217,0.010272984016572888,0.05824431794075593,0.0019339433660354064,0.23352657911715347,0.016042937330484983,0.08333333333333333,0.0,161.94287967681885,3.916460525974818,43356.0,0.0,0.1383043130238851,0.032710767446942186,3,"[0, 1, 2]",0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_rul,censor_frac-0.2,cmapss:FD001,rul,ridge regression [all],18.10227690048046,0.1702635094856423,14.585365516247142,0.16633582320325757,29391.15705906753,144.35587581364473,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013582706451416016,0.0003801928697784573,,,,,3,"[0, 1, 2]",0.2,7543.333333333333,345.6158754069803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_rul,censor_frac-0.2,cmapss:FD001,rul,ridge regression [last],17.965076322409278,0.043908005390789574,14.52856747945434,0.07615681453530411,617.0830957752202,7.292717350772229,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013582706451416016,0.0003801928697784573,,,,,3,"[0, 1, 2]",0.2,7543.333333333333,345.6158754069803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_rul,censor_frac-0.2,cmapss:FD001,rul,MLP regressor [all],17.075006030974762,0.35130721353747263,13.011883633613587,0.4127016127843201,44380.13834840179,3051.236236348448,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4360146522521973,0.04723152443029775,,,,,3,"[0, 1, 2]",0.2,7543.333333333333,345.6158754069803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_rul,censor_frac-0.2,cmapss:FD001,rul,MLP regressor [last],16.998577534611357,0.8231699622029867,12.418033500909806,0.9359478186720263,680.1228164129328,37.877454499696725,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4360146522521973,0.04723152443029775,,,,,3,"[0, 1, 2]",0.2,7543.333333333333,345.6158754069803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_rul,censor_frac-0.2,cmapss:FD001,rul,quantile reg. + conformal (CQR) [all],16.844012898089883,0.4336279533462948,13.004827759749801,0.5506769262836814,37749.725164936164,5424.914572518055,,,0.8462814814814815,0.00903931968742796,47.09234734532392,0.8992771622494391,67.53593477931553,1.7122068712946967,,,,,,,,,,,,,,,,,,,1.2920029163360596,0.09398488216435154,,,,,3,"[0, 1, 2]",0.2,7543.333333333333,345.6158754069803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_rul,censor_frac-0.2,cmapss:FD001,rul,quantile reg. + conformal (CQR) [last],16.517925403277093,0.3326642343954599,11.9209406709671,0.13203248804742418,719.0764837885312,110.14943293401149,,,0.8833333333333333,0.005773502691896262,45.15984854459762,0.48487388834606054,73.0932331220309,3.48529652959723,,,,,,,,,,,,,,,,,,,1.2920029163360596,0.09398488216435154,,,,,3,"[0, 1, 2]",0.2,7543.333333333333,345.6158754069803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
