experiment,variant,dataset,stage,method,auroc_mean,auroc_std,ap_mean,ap_std,auroc[decouple]_mean,auroc[decouple]_std,auroc[desync]_mean,auroc[desync]_std,auroc[drift]_mean,auroc[drift]_std,auroc[offset]_mean,auroc[offset]_std,auroc[organic]_mean,auroc[organic]_std,auroc[spike]_mean,auroc[spike]_std,fit_s_mean,fit_s_std,params_mean,params_std,train_nll_mean,train_nll_std,n_seeds,seeds,axis:model.K,axis:model.leaf_components
capacity_sweep,K-6_leaf_components-1,cmapss:FD001,ad,"RegionGraphPC [chain, K=6]",0.7506401892497653,0.006804909253448887,0.5008148919764837,0.008425345270910746,0.5036553734699787,0.01665557836878417,0.5413054892930909,0.019061447248974645,0.9476506946136448,0.007159328867780926,0.9367626004088042,0.01803171225290521,0.9999639770216789,1.5578053918730834e-05,0.7236730392692999,0.02615702329720756,13.410785754521688,0.03803923267792569,8244.0,0.0,198.81172688802084,15.729056351990922,3,"[0, 1, 2]",6,1
capacity_sweep,K-6_leaf_components-1,cmapss:FD001,ad,PC · structural-only score,0.5720915698335004,0.012702143801648002,0.1804116265411415,0.008319173875834075,0.4905002129175835,0.037873328559654675,0.5089805951124906,0.0044223728569993525,0.6551967130331376,0.012250327922560296,0.6238968558911248,0.012924509374565924,0.6520613899519138,0.11431067675646629,0.5519753309632902,0.0257502459585621,,,,,,,3,"[0, 1, 2]",6,1
capacity_sweep,K-16_leaf_components-1,cmapss:FD001,ad,"RegionGraphPC [chain, K=16]",0.7504515774007481,0.006718210830558723,0.5009962932930825,0.00804929042342745,0.5058629295859787,0.013910993086819288,0.5397720464588929,0.019197280079527174,0.947515726662695,0.007341233184483005,0.9366612140350471,0.0176440380225858,0.9999585619687273,1.1262858094152732e-05,0.7223940904466072,0.023859735343115963,27.62230944633484,0.24010125722831974,88704.0,0.0,189.55198669433594,2.9541136793802365,3,"[0, 1, 2]",16,1
capacity_sweep,K-16_leaf_components-1,cmapss:FD001,ad,PC · structural-only score,0.5752800046570786,0.009132505163258161,0.18230872285151248,0.005752236910854267,0.4945712880667455,0.03805949706581921,0.5089681530780527,0.004701772631048726,0.6527029635079872,0.013331594234251678,0.6267073585973342,0.011804227266982575,0.6839811969085342,0.11902547359550786,0.5517650995273292,0.022072348740391278,,,,,,,3,"[0, 1, 2]",16,1
capacity_sweep,K-12_leaf_components-3,cmapss:FD001,ad,"RegionGraphPC [chain, K=12]",0.8327135826490505,0.00890936307606313,0.6814387135205938,0.013129804951804616,0.5108878695543494,0.04740299673324476,0.6819977479139491,0.039689030409289325,0.9972387456881492,0.0016890219545599979,0.9980424769279845,0.0008203089589135975,0.9998414774206977,2.0431493174220654e-05,0.893167107889343,0.008104456657109297,23.327645301818848,2.0347983771869305,66528.0,0.0,88.54964955647786,3.5806702735818883,3,"[0, 1, 2]",12,3
capacity_sweep,K-12_leaf_components-3,cmapss:FD001,ad,PC · structural-only score,0.7790459179700564,0.00890119651270225,0.5881806180649605,0.008718325362252019,0.4860254741945893,0.032593787521791526,0.7579121103551416,0.02116425220298909,0.9649642192325919,0.0023426817857370155,0.9693469187746443,0.010455924323411839,0.9160146173393194,0.04529001681795772,0.6614172233869584,0.004265141426431493,,,,,,,3,"[0, 1, 2]",12,3
capacity_sweep,K-8_leaf_components-3,cmapss:FD001,ad,"RegionGraphPC [chain, K=8]",0.8264543148392574,0.006845343549517601,0.6664649038282658,0.010770333096838754,0.5020543800075566,0.04455144928882701,0.6708451184586814,0.031995226028433174,0.995860769750769,0.002832919573251308,0.9974715253467491,0.00037450570921159626,0.9998558627790414,1.3953144130389766e-05,0.8827117407892082,0.008920972360952585,18.123043696085613,0.05647387397802146,32160.0,0.0,97.27975972493489,4.880958853693147,3,"[0, 1, 2]",8,3
capacity_sweep,K-8_leaf_components-3,cmapss:FD001,ad,PC · structural-only score,0.7790691152190994,0.0027296541031972456,0.5905718692992409,0.0060901917344886045,0.47315278393799426,0.026556026822800876,0.7456918895390016,0.007257482475888883,0.9611156529505905,0.001452027350130834,0.9625892981031599,0.008638114016541128,0.9798790666541407,0.008885575835220861,0.6677101491724752,0.0236603060879265,,,,,,,3,"[0, 1, 2]",8,3
capacity_sweep,K-6_leaf_components-3,cmapss:FD001,ad,"RegionGraphPC [chain, K=6]",0.8258078397012097,0.0031042713038612513,0.6652881769244395,0.0061001990924011455,0.5041850865166337,0.03303875007873481,0.6600775486641507,0.04212151623689205,0.9957327838079332,0.002976229895586875,0.996586782934315,0.001959350343688941,0.9998523507240115,1.9783148603373852e-05,0.8884059350276762,0.01517315877219943,15.349862575531006,0.10585972557976875,20844.0,0.0,111.93617248535156,8.158056794138469,3,"[0, 1, 2]",6,3
capacity_sweep,K-6_leaf_components-3,cmapss:FD001,ad,PC · structural-only score,0.7653439960673535,0.009558517826101847,0.5857389705317688,0.005050388147297798,0.4997676499566847,0.02009379848472768,0.7041485618359228,0.035970231011415194,0.9580780572142488,0.006117584222527651,0.9518326452780475,0.004885505501801908,0.9924777236705631,0.006951792173905647,0.6270659514319541,0.03569864913403173,,,,,,,3,"[0, 1, 2]",6,3
