experiment,variant,dataset,stage,method,log_partition_mean,log_partition_std,leaf_mean,leaf_std,sum_mean,sum_std,product_mean,product_std,nodes_mean,nodes_std,parameters_mean,parameters_std,optimizer_steps_mean,optimizer_steps_std,epochs_run_mean,epochs_run_std,best_epoch_mean,best_epoch_std,checkpoint_nll_mean,checkpoint_nll_std,fit_s_mean,fit_s_std,final_train_nll_mean,final_train_nll_std,lr_mean,lr_std,epochs_budget_mean,epochs_budget_std,batch_size_mean,batch_size_std,n_seeds,seeds,axis:variant,shortcut_auroc_mean,shortcut_auroc_std,shortcut_channel_mean,shortcut_channel_std,shortcut_n_dev_mean,shortcut_n_dev_std,shortcut_n_eval_mean,shortcut_n_eval_std,shortcut_features_mean,shortcut_features_std,components_mean,components_std,rank_mean,rank_std,selection_score_mean,selection_score_std,n_stabilizations_mean,n_stabilizations_std,oracle_max_error_mean,oracle_max_error_std,query_s_mean,query_s_std,warmup_s_mean,warmup_s_std,n_mean,n_std,n_observed_mean,n_observed_std,n_observed_min_mean,n_observed_min_std,n_observed_max_mean,n_observed_max_std,cost_passes_mean,cost_passes_std,cost_node_visits_mean,cost_node_visits_std,cost_boundary_visits_mean,cost_boundary_visits_std,cost_n_masks_mean,cost_n_masks_std,cost_seconds_mean,cost_seconds_std,cost_node_evaluations_mean,cost_node_evaluations_std,cost_boundary_elements_mean,cost_boundary_elements_std,cost_output_elements_mean,cost_output_elements_std,cost_peak_boundary_bytes_mean,cost_peak_boundary_bytes_std,empirical_log_dependence_mean_mean,empirical_log_dependence_mean_std,empirical_log_dependence_abs_mean_mean,empirical_log_dependence_abs_mean_std,empirical_log_dependence_sd_mean,empirical_log_dependence_sd_std,empirical_log_dependence_q05_mean,empirical_log_dependence_q05_std,empirical_log_dependence_q95_mean,empirical_log_dependence_q95_std,alpha_mean,alpha_std,calibration_n_mean,calibration_n_std,threshold_mean,threshold_std,score_range_mean,score_range_std,fpr_mean,fpr_std,power_mean,power_std,auroc_mean,auroc_std,ap_mean,ap_std,auroc[decouple]_mean,auroc[decouple]_std,auroc[desync]_mean,auroc[desync]_std,auroc[drift]_mean,auroc[drift]_std,auroc[offset]_mean,auroc[offset]_std,auroc[spike]_mean,auroc[spike]_std,loc_ap_mean,loc_ap_std,loc_ap_n_mean,loc_ap_n_std,loc_n_no_observed_target_mean,loc_n_no_observed_target_std,loc_n_all_observed_are_targets_mean,loc_n_all_observed_are_targets_std,loc_n_ambiguous_mean,loc_n_ambiguous_std,loc_n_unique_mean,loc_n_unique_std,loc_n_abstained_no_alarm_mean,loc_n_abstained_no_alarm_std,loc_unique_top1_accuracy_mean,loc_unique_top1_accuracy_std,end_to_end_unique_top1_mean,end_to_end_unique_top1_std
diagnosis_donors,matched,cmapss:FD001,diagnosis,model,-1.9868214925130207e-08,4.057204297515181e-07,2400.0,0.0,2385.0,0.0,19136.0,0.0,23921.0,0.0,174240.0,0.0,2760.0,103.92304845413264,180.0,0.0,177.33333333333334,2.081665999466133,34.818063735961914,6.906422197806719,131.08584554990134,47.06718014075731,29.97063600213279,5.2481180230416875,0.02,0.0,180.0,0.0,256.0,0.0,3,"[11, 12, 13]",matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_donors,matched,cmapss:FD001,diagnosis,shortcut audit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",matched,0.5526034340869206,0.00805176142807562,0.0,0.0,1128.0,157.12415473121885,871.3333333333334,59.87765303795175,42.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_donors,matched,cmapss:FD001,diagnosis,model gaussian_fitted,,,,,,,,,,,45450.0,0.0,,,,,,,,,0.2563017829997989,0.026354975286638944,,,,,,,,,3,"[11, 12, 13]",matched,,,,,,,,,,,1.0,0.0,300.0,0.0,-171.15366534841655,3.3797863530555086,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_donors,matched,cmapss:FD001,diagnosis,model gmm_fitted,,,,,,,,,,,121201.66666666667,52482.294169875364,,,,,,,,,35.36257327866527,7.398546260768911,,,,,,,,,3,"[11, 12, 13]",matched,,,,,,,,,,,2.6666666666666665,1.1547005383792515,300.0,0.0,-117.81953513139916,6.786695205833636,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_donors,matched,cmapss:FD001,diagnosis,query full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",matched,,,,,,,,,,,,,,,,,,,2.2729237874348957e-05,3.449524945292585e-06,1.3755207963343612,0.016940673164817847,0.7560769973339726,0.13871478860910638,871.3333333333334,59.87765303795175,15.0,0.0,15.0,0.0,15.0,0.0,6.0,0.0,50324.0,0.0,240.0,0.0,2.0,0.0,1.353078,0.019285554801456932,21924489.333333332,1506641.505740942,209120.0,14370.636729108423,13070.0,898.1647955692764,245760.0,0.0,6.949141343434651,1.9456908608482335,6.958476702372233,1.9545041997363342,1.8644674221674602,0.9382562947112781,2.8988715012868247,0.5391021687768923,9.23027229309082,2.5761635822016604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_donors,matched,cmapss:FD001,diagnosis,joint | full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10000000000000002,1.6996749443881478e-17,10.0,0.0,61.68791707356771,21.516536069912114,1078.6645914713542,149.00103127531165,0.08082474093206546,0.03695764254916276,0.5678619692038295,0.07267791881635759,0.8014734059536867,0.031217898845026494,0.8490340950553775,0.02529698593682828,0.536590161043492,0.04485532027547419,0.5688460955387616,0.05884719862727826,0.9946798146259153,0.0029883534363764563,0.9942087382407001,0.005544781491131669,0.9294186999989872,0.008159641814016606,0.6827871117157095,0.027553862144655245,435.6666666666667,29.938826518975876,0.0,0.0,0.0,0.0,0.0,0.0,435.6666666666667,29.938826518975876,189.33333333333334,42.85246006162696,0.6520630469847526,0.028662916926329614,0.5308494237107753,0.05768701522186672
diagnosis_donors,matched,cmapss:FD001,diagnosis,independent | full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10000000000000002,1.6996749443881478e-17,10.0,0.0,70.1052754720052,19.42345358821868,1067.546875,157.45314751896086,0.07999488120881225,0.042270185359665466,0.5524549341866812,0.07092567134044554,0.7881419610153367,0.026617327827766917,0.8399584452970773,0.02310004987797647,0.5351589150759328,0.042282545016557434,0.5071729217699987,0.03192354889633747,0.9915664003588675,0.00314637713938682,0.9903524882291158,0.008537451646794111,0.9285175336735101,0.007276562800611448,0.6512204057405037,0.024473308280791195,435.6666666666667,29.938826518975876,0.0,0.0,0.0,0.0,0.0,0.0,435.6666666666667,29.938826518975876,196.0,42.320207938997655,0.6152791867277521,0.022064208457715232,0.5177580342545942,0.05474480744867308
diagnosis_donors,matched,cmapss:FD001,diagnosis,marginal_max | full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10000000000000002,1.6996749443881478e-17,10.0,0.0,30.06584358215332,1.1284432933422985,539.8334147135416,107.08559983574723,0.028766351075371368,0.016824045960309904,0.5703046126221128,0.02473921065072129,0.7909085016373573,0.023965923361405985,0.8514125928539912,0.016382338329267263,0.5205432697717275,0.029952251191788563,0.500463920357705,0.02973665641724123,0.9968406674688756,0.0014128905942333246,0.9953209719673121,0.005319424437363969,0.9570027610250924,0.019039844511775636,0.6512204057405037,0.024473308280791195,435.6666666666667,29.938826518975876,0.0,0.0,0.0,0.0,0.0,0.0,435.6666666666667,29.938826518975876,187.66666666666666,23.692474191889147,0.6152791867277521,0.022064208457715232,0.5618718901014971,0.025913566423995175
diagnosis_donors,matched,cmapss:FD001,diagnosis,conditional_max | full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10000000000000002,1.6996749443881478e-17,10.0,0.0,29.235803604125977,1.0912901300266746,540.1938273111979,106.98671278966894,0.0303861002141064,0.021719241607148526,0.5818968928046561,0.027592360115837985,0.8061400937263111,0.026073658427777372,0.8615094699612164,0.017302798204760654,0.5181540751201644,0.03504571336736491,0.5770512695724145,0.05552378793858452,0.9990942877782159,0.0010373269906314075,0.9990733469103404,0.0015007558485040237,0.9567555554296979,0.01920543088260481,0.6827871117157095,0.027553862144655245,435.6666666666667,29.938826518975876,0.0,0.0,0.0,0.0,0.0,0.0,435.6666666666667,29.938826518975876,182.66666666666666,24.583192089989726,0.6520630469847526,0.028662916926329614,0.5726476339967109,0.029680323054048035
diagnosis_donors,matched,cmapss:FD001,diagnosis,relational_max | full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10000000000000002,1.6996749443881478e-17,10.0,0.0,3.2472216288248696,1.0354398241252958,12.664408047993978,0.8817101513092723,0.01337409737771293,0.017201121102367472,0.3145532417053512,0.06886883718216073,0.7054080109359905,0.02067311072354588,0.7682877253516139,0.016903200023001518,0.5060784207890673,0.011889584011946307,0.715249988749114,0.04645823452537032,0.8992763081872511,0.015169480054423446,0.8925196239854625,0.012112773464234845,0.5303121260796376,0.02505621478023595,0.44910625428969614,0.029105166307025355,435.6666666666667,29.938826518975876,0.0,0.0,0.0,0.0,132.0,44.19275958796871,303.6666666666667,16.502525059315417,167.33333333333334,35.557465226494045,0.622069185187626,0.06397706961651617,0.3035761883877144,0.0655737674023282
