epoch,value
0,33466.83301062883
1,3198.2811282025195
2,310.7722428655315
3,247.91872755296814
4,244.08889265548606
5,243.3494015496329
6,243.22439102799925
7,243.99109944162734
8,241.851893123965
9,241.96588303965464
10,241.27627694391913
11,241.9925487163519
12,242.60789952680372
13,241.62451772325403
14,240.93530988741367
15,242.54099026042604
16,242.9564441705661
17,242.41794630516839
18,242.57233851734648
19,242.54710663655894
20,242.24295529762273
21,248.13817738022146
22,247.43872583192635
23,247.4600573374027
24,247.352617204662
25,249.81211651043662
26,253.7567681871564
27,249.93357445153728
28,248.54928720882666
29,251.44966132749133
30,249.4760533295008
31,248.43284800556296
32,247.91284584314943
33,253.59154853188227
34,252.11124938436782
35,250.55021771112618
36,249.05927684649168
37,249.29533947076226
38,256.61427590522135
39,256.45240008980574
40,253.9307553886078
41,257.0261487744915
42,253.67837397459178
43,254.65321989492625
44,252.52683154974554
45,251.7906482259232
46,254.5108599959128
47,258.0825669204063
48,257.8743028130562
49,258.957615200667
50,256.34222886485
51,255.91325328032062
52,257.5179644440951
53,258.2676002727968
54,256.61071276345007
55,258.21433512956526
56,259.8389044554696
57,257.53436852024026
58,255.7998184985193
59,255.10067798749267
