experiment,variant,dataset,stage,method,auroc_mean,auroc_std,ap_mean,ap_std,auroc[decouple]_mean,auroc[decouple]_std,auroc[desync]_mean,auroc[desync]_std,auroc[drift]_mean,auroc[drift]_std,auroc[offset]_mean,auroc[offset]_std,auroc[organic]_mean,auroc[organic]_std,auroc[spike]_mean,auroc[spike]_std,fit_s_mean,fit_s_std,params_mean,params_std,train_nll_mean,train_nll_std,n_seeds,seeds,axis:model.vtree,axis:model.leaf_components
cmapss_structure_x_leaves,vtree-chain_perm_blocks_leaf_components-1,cmapss:FD001,ad,"RegionGraphPC [chain_perm_blocks, K=8]",0.7511768348340077,0.005619116045460764,0.5019093843978961,0.007847223678008946,0.5045038589283926,0.01667539376195303,0.5418816923507775,0.019772255484034704,0.9480143734177043,0.00805069635875965,0.9369272992504052,0.016776065973007296,0.999958598711329,1.3495165521321832e-05,0.7244849543704309,0.022779324301685305,7.249184449513753,0.031108041833678518,15360.0,0.0,190.81527201334634,7.781743597971029,3,"[0, 1, 2]",chain_perm_blocks,1
cmapss_structure_x_leaves,vtree-chain_perm_blocks_leaf_components-1,cmapss:FD001,ad,PC · structural-only score,0.5706447675882265,0.006845378962414218,0.18577243445736577,0.008473493207572722,0.49093039255295406,0.03826746481178013,0.5096514728075743,0.006346841683754529,0.652711591760176,0.007864169370646523,0.6229251427616561,0.013325214517030356,0.6302429244707565,0.05379287645337434,0.5556571301519045,0.016921500816426967,,,,,,,3,"[0, 1, 2]",chain_perm_blocks,1
cmapss_structure_x_leaves,vtree-chain_perm_features_leaf_components-3,cmapss:FD001,ad,"RegionGraphPC [chain_perm_features, K=8]",0.8347387726055274,0.004751037203414534,0.6842811346498686,0.0077528680956196645,0.5062967613836488,0.046522762833205576,0.6828866257338055,0.025877092331514986,0.9973807366779323,0.0016349750887140028,0.9982026084630075,0.00044219116154579034,0.9998775457066934,1.8627133996591353e-05,0.905854395970391,0.01127760573651308,7.435802777608235,0.07323744531942662,32160.0,0.0,97.06294504801433,1.6147370169902793,3,"[0, 1, 2]",chain_perm_features,3
cmapss_structure_x_leaves,vtree-chain_perm_features_leaf_components-3,cmapss:FD001,ad,PC · structural-only score,0.7804743823959251,0.01491883497212873,0.6046742496273324,0.007883203260007162,0.47380360156633655,0.050861597520893795,0.7405248042273996,0.03624481978530288,0.9653864494267683,0.001196032793174724,0.9703415993923933,0.01269863764371626,0.9770484417915419,0.028187936246629682,0.6717419392511356,0.015643952710061793,,,,,,,3,"[0, 1, 2]",chain_perm_features,3
cmapss_structure_x_leaves,vtree-time_leaf_components-3,cmapss:FD001,ad,"RegionGraphPC [time, K=8]",0.8126226773145024,0.004352252680720752,0.621944491027845,0.0054727558253283215,0.5098875025925936,0.019556361576296533,0.6250782742595651,0.026558243323311193,0.9916843379881902,0.0030720768254155493,0.9906969313868689,0.0055400133847230805,0.9998378983352728,8.676675419365918e-06,0.8595734560014722,0.006089186853319647,17.607013940811157,0.0658594707196075,174240.0,0.0,114.9900410970052,15.286365952289744,3,"[0, 1, 2]",time,3
cmapss_structure_x_leaves,vtree-time_leaf_components-3,cmapss:FD001,ad,PC · structural-only score,0.7168495178995213,0.002388592691985685,0.4802939831497512,0.0066503035248711515,0.4911955870633092,0.00225345375122754,0.7471940218430668,0.012487249910367607,0.9099933481801791,0.01392151178557027,0.9304584622019848,0.006084004342541638,0.6850161804639895,0.033000554377563274,0.531611891201497,0.019998993164344864,,,,,,,3,"[0, 1, 2]",time,3
cmapss_structure_x_leaves,vtree-chain_leaf_components-1,cmapss:FD001,ad,"RegionGraphPC [chain, K=8]",0.7527944028564196,0.008114662090609275,0.5037201071626499,0.011770549522312823,0.5059188068876465,0.01422386480488878,0.5430273150077632,0.023213107263130608,0.9495724279267534,0.0056333935828908575,0.9388974035087608,0.01993569835154655,0.9999603547388439,1.363096862571944e-05,0.7270715299547738,0.02002201982565159,7.428621927897136,0.3749533594378675,15360.0,0.0,189.43604024251303,1.904499991559904,3,"[0, 1, 2]",chain,1
cmapss_structure_x_leaves,vtree-chain_leaf_components-1,cmapss:FD001,ad,PC · structural-only score,0.5820407818600014,0.0030092254697949724,0.18956905972230498,0.00866334607140841,0.49326751209310365,0.035463947950478185,0.5105169534856019,0.001302157447485816,0.6484189804493223,0.006246612099215593,0.6326514333788534,0.01959615199657706,0.7434980643200153,0.04129228272100961,0.5601633326501086,0.020832335149748155,,,,,,,3,"[0, 1, 2]",chain,1
cmapss_structure_x_leaves,vtree-chow_liu_leaf_components-3,cmapss:FD001,ad,"RegionGraphPC [chow_liu, K=8]",0.8266090554376833,0.0038239001998356783,0.6539902253529681,0.005724936962859925,0.522930112367504,0.03528932851181999,0.6569354780796101,0.051827330139941355,0.9958099985053323,0.002199530585416198,0.9952340223683191,0.00267643198440482,0.9999892098641024,5.35076335074776e-06,0.8789954878266388,0.0048136094142617785,19.7993381023407,0.0035801015687009588,174240.0,0.0,89.89931742350261,8.833504088647537,3,"[0, 1, 2]",chow_liu,3
cmapss_structure_x_leaves,vtree-chow_liu_leaf_components-3,cmapss:FD001,ad,PC · structural-only score,0.7026763563145991,0.009626275756058664,0.5415446404991132,0.009094295559904896,0.4995486487416418,0.03538579064806883,0.7779276019398966,0.029657218079883994,0.9522103786192065,0.013619420947632542,0.9316856238929331,0.004559944699446086,0.29400556719263815,0.09159175454482824,0.5373173070172798,0.0191459995640399,,,,,,,3,"[0, 1, 2]",chow_liu,3
cmapss_structure_x_leaves,vtree-chain_leaf_components-3,cmapss:FD001,ad,"RegionGraphPC [chain, K=8]",0.8264543148392574,0.006845343549517601,0.6664649038282658,0.010770333096838754,0.5020543800075566,0.04455144928882701,0.6708451184586814,0.031995226028433174,0.995860769750769,0.002832919573251308,0.9974715253467491,0.00037450570921159626,0.9998558627790414,1.3953144130389766e-05,0.8827117407892082,0.008920972360952585,7.442886114120483,0.028536898077610645,32160.0,0.0,97.27975972493489,4.880958853693147,3,"[0, 1, 2]",chain,3
