epoch,value
0,31474.710481155482
1,1773.594500005538
2,284.67637145649957
3,186.19180442651412
4,179.67598556201264
5,179.69502466558734
6,177.97500604582643
7,177.49666004433297
8,181.28137164918147
9,179.22163543412725
10,177.98303943194153
11,178.3551459905556
12,175.5327303679093
13,175.28443421794697
14,176.17473286446642
15,176.73783293581639
16,174.43408544068075
17,175.48875547239595
18,174.39594535611303
19,178.5941653217395
20,185.62477833508092
21,177.18328307643955
22,175.38084337202048
23,190.8346188810237
24,175.8691662274597
25,174.9901908542799
26,179.58302345203768
27,174.49939515198562
28,175.00336592733748
29,177.32553717860202
30,184.37275838293064
31,175.8289392770576
32,177.27086607963693
33,178.5979473323137
34,175.07279219456115
35,177.8430916394989
36,179.9379793625022
37,177.41049055881896
38,174.6739125242756
39,176.54310780400814
40,175.83071579815984
41,199.16830482987692
42,189.26488671690396
43,189.74047426393216
44,184.94288731594844
45,185.15626465882156
46,175.9639316032424
47,176.76406203848654
48,179.64843292524773
49,175.86749787934562
