epoch,value
0,19549.638475561802
1,740.1812105828412
2,258.6222485193364
3,224.04944673967046
4,211.41643472571485
5,207.40802217544456
6,207.60768824434194
7,202.17918932766997
8,199.78607167800985
9,198.74404933347697
10,197.8522918038946
11,196.51427263532366
12,198.07499147384118
13,198.06989334226014
14,199.65972448605382
15,201.74036465323496
16,201.4876756903779
17,199.8204575992191
18,197.97279876285896
19,197.58792380619798
20,196.93298436418365
21,196.6377283410181
22,196.36126714318974
23,196.04859228243376
24,195.87293640651782
25,195.5424702336804
26,195.9381200071844
27,195.1825033766164
28,195.516944588172
29,195.48171395364477
30,195.40539694447486
31,195.37449138105598
32,195.23855760607682
33,195.3829248962954
34,195.20778351841813
35,195.32891660463818
36,195.12669998362094
37,195.20318433360353
38,195.14518027923566
39,195.04927145214668
40,195.1304992215902
41,194.8745857758433
42,195.1183880457036
43,194.8693705976692
44,194.85152085886583
45,194.9910568908728
46,194.9062174387191
47,194.9701900489076
48,195.04218946828263
49,194.94118428290645
50,194.77746850784607
51,194.75420395182587
52,194.7690546202473
53,194.772231321697
54,194.69666497320782
55,194.73613075959963
56,194.80109517084253
57,194.7680026063005
58,194.64659344728918
59,194.6468267862735
