epoch,value
0,12273.394366460327
1,1894.7774178003917
2,461.06407835969407
3,255.9386029624775
4,223.8632039982803
5,212.5356622172755
6,208.33206428665594
7,202.84635312579772
8,199.08654551616743
9,197.90380192868994
10,195.02749196886504
11,194.00477663074602
12,194.15500661205445
13,193.5914668758061
14,194.22786915353527
15,192.96345912313421
16,192.34916146459605
17,190.39578685284891
18,190.3223005640845
19,192.01872103847722
20,191.53370788521738
21,190.09624304734524
22,191.5588297036221
23,192.94718863568426
24,192.67314634708526
25,192.16900975890746
26,191.55978574613405
27,191.1952447735433
28,191.13783058173064
29,190.79558512719663
30,190.32074704092327
31,190.2363160150582
32,190.15073165827954
33,189.61554046919503
34,189.4316651728885
35,189.1705248923724
36,189.03450485846142
37,189.18366732806453
38,188.74141220132134
39,188.9101071411028
40,188.9465081173084
41,188.59154387824205
42,188.62802574046194
43,188.7082881123878
44,188.37782555249674
45,188.36129986409574
46,188.4676668883805
47,188.1884726789217
48,188.14929229395204
49,188.03562311908857
50,187.9727053851376
51,187.95954532902095
52,187.80612635263984
53,187.80084833356705
54,187.64206599123193
55,187.96932312956372
56,187.73535278267832
57,187.82079701575347
58,187.71657498622903
59,187.67016331286442
