epoch,value
0,283.1762984219931
1,218.6664331446974
2,194.25731559998596
3,180.04576730421675
4,170.296703853499
5,161.40888083445327
6,154.79305579144022
7,148.2829294763576
8,141.77891282656694
9,136.25315295617838
10,128.4986667597001
11,122.32722242387797
12,118.49713540320586
13,113.70786859407768
14,110.5085313187655
15,110.02976213826574
16,101.62229825688671
17,95.07976833985298
18,90.03123015203639
19,86.41302589748217
20,92.28928745031807
21,88.8166135330056
22,82.60059293519797
23,83.01321892837495
24,75.6313341598655
25,72.7168062235322
26,76.44556317104059
27,74.05773741175862
28,76.55717299809302
29,70.88658541010548
30,72.83895130121415
31,71.95772606141175
32,74.23353032074263
33,83.15750564834796
34,87.94176044716501
35,84.4536109707982
36,82.48134321129841
37,77.14436595895114
38,79.2273771030015
39,75.93540121846479
40,70.64722367631015
41,83.83406682149675
42,81.68480185669176
43,77.54679925987085
44,80.5196611920016
45,74.4882402791418
46,78.6645047943173
47,74.1689232723474
48,69.22037961271174
49,76.21456717074706
