experiment,variant,dataset,stage,method,max_abs_diff_nats_mean,max_abs_diff_nats_std,oracle_s_mean,oracle_s_std,two_pass_s_mean,two_pass_s_std,n_mean,n_std,speedup_mean,speedup_std,diff_marginal_mean,diff_marginal_std,diff_conditional_mean,diff_conditional_std,diff_structural_mean,diff_structural_std,cost_passes_mean,cost_passes_std,cost_node_visits_mean,cost_node_visits_std,cost_boundary_visits_mean,cost_boundary_visits_std,cost_n_masks_mean,cost_n_masks_std,cost_seconds_mean,cost_seconds_std,n_seeds,seeds,dependence_nats_mean,dependence_nats_std,n_observed_mean,n_observed_std,auroc_mean,auroc_std,ap_mean,ap_std,auroc[decouple]_mean,auroc[decouple]_std,auroc[desync]_mean,auroc[desync]_std,auroc[drift]_mean,auroc[drift]_std,auroc[offset]_mean,auroc[offset]_std,auroc[organic]_mean,auroc[organic]_std,auroc[spike]_mean,auroc[spike]_std,struct_auroc_mean,struct_auroc_std,loc_auroc_mean,loc_auroc_std,loc_prec_at_k_mean,loc_prec_at_k_std,loc_n_mean,loc_n_std,loc_unfindable_mean,loc_unfindable_std,det_passes_mean,det_passes_std,exact_set_match_mean,exact_set_match_std,jaccard_mean,jaccard_std,candidates_mean,candidates_std,naive_passes_mean,naive_passes_std,naive_seconds_mean,naive_seconds_std,value_max_abs_diff_mean,value_max_abs_diff_std,subset_agreement_mean,subset_agreement_std,n_observed_channels_mean,n_observed_channels_std,fpr_masked_mean,fpr_masked_std,fpr_blind_mean,fpr_blind_std,window_fpr_masked_mean,window_fpr_masked_std,window_fpr_blind_mean,window_fpr_blind_std,alpha_mean,alpha_std,worst_abs_drift_masked_mean,worst_abs_drift_masked_std,worst_abs_drift_blind_mean,worst_abs_drift_blind_std,n_masks_mean,n_masks_std,n_fit_mean,n_fit_std,n_eval_mean,n_eval_std,K_mean,K_std,params_mean,params_std,param_ratio_mean,param_ratio_std,val_nll_mean,val_nll_std,fit_s_mean,fit_s_std,best_epoch_mean,best_epoch_std,delta_auroc_mean,delta_auroc_std,delta_nll_frac_mean,delta_nll_frac_std,best_other_auroc_mean,best_other_auroc_std,best_other_nll_mean,best_other_nll_std,candidate_auroc_mean,candidate_auroc_std,candidate_nll_mean,candidate_nll_std
tier1_smoke,default,synthetic,relational,two-pass vs 3C oracle,1.33514404296875e-05,0.0,0.048,0.0,0.053,0.0,24.0,0.0,0.91,0.0,1.9073486328125e-06,0.0,1.1444091796875e-05,0.0,1.33514404296875e-05,0.0,3.0,0.0,1330.0,0.0,32.0,0.0,1.0,0.0,0.05224,0.0,1,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier1_smoke,default,synthetic,relational,dependence (Σ marginals − joint),,,,,,,,,,,,,,,,,,,,,,,,,,,1,[0],1.748402951307071e-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier1_smoke,default,synthetic,relational,mask full,,,,,,,,,,,,,,,,,6.0,0.0,2660.0,0.0,64.0,0.0,2.0,0.0,0.083468,0.0,1,[0],,,8.0,0.0,0.88671875,0.0,0.8047272173299775,0.0,0.57375,0.0,0.3,0.0,0.8875,0.0,0.8458333333333333,0.0,1.0,0.0,0.7975,0.0,0.54859375,0.0,0.5407867494824017,0.0,0.3125,0.0,16.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier1_smoke,default,synthetic,relational,mask random1:3,,,,,,,,,,,,,,,,,6.0,0.0,2660.0,0.0,64.0,0.0,2.0,0.0,0.076163,0.0,1,[0],,,7.0,0.0,0.82921875,0.0,0.6780134830351017,0.0,0.58875,0.0,0.43125,0.0,0.603125,0.0,0.8270833333333333,0.0,0.9497395833333333,0.0,0.6625,0.0,0.52765625,0.0,0.4904214559386973,0.0,0.16666666666666666,0.0,15.0,0.0,1.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier1_smoke,default,synthetic,relational,mask random2:2-5,,,,,,,,,,,,,,,,,6.0,0.0,2660.0,0.0,64.0,0.0,2.0,0.0,0.06041,0.0,1,[0],,,6.0,0.0,0.87484375,0.0,0.7906362478841343,0.0,0.625,0.0,0.29375,0.0,0.9,0.0,0.65,0.0,1.0,0.0,0.765,0.0,0.521328125,0.0,0.4936990363232024,0.0,0.23333333333333334,0.0,15.0,0.0,1.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier1_smoke,default,synthetic,relational,mask bank0:0-1-2,,,,,,,,,,,,,,,,,6.0,0.0,2660.0,0.0,64.0,0.0,2.0,0.0,0.05585,0.0,1,[0],,,5.0,0.0,0.91375,0.0,0.8407134760411936,0.0,0.54875,0.0,0.58125,0.0,0.965625,0.0,0.9458333333333333,0.0,1.0,0.0,0.89125,0.0,0.569140625,0.0,0.49390243902439024,0.0,0.18181818181818182,0.0,11.0,0.0,5.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier1_smoke,default,synthetic,relational,mask bank1:3-4-5,,,,,,,,,,,,,,,,,6.0,0.0,2660.0,0.0,64.0,0.0,2.0,0.0,0.058992,0.0,1,[0],,,5.0,0.0,0.719375,0.0,0.5603386824983339,0.0,0.6275,0.0,0.31875,0.0,0.528125,0.0,0.60625,0.0,0.82109375,0.0,0.5475,0.0,0.492734375,0.0,0.506,0.0,0.2692307692307692,0.0,13.0,0.0,3.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier1_smoke,default,synthetic,relational,mask bank2:6-7,,,,,,,,,,,,,,,,,6.0,0.0,2660.0,0.0,64.0,0.0,2.0,0.0,0.064965,0.0,1,[0],,,6.0,0.0,0.85265625,0.0,0.7810402367506353,0.0,0.495,0.0,0.24375,0.0,0.840625,0.0,0.7083333333333334,0.0,0.99609375,0.0,0.735,0.0,0.58296875,0.0,0.4629331184528606,0.0,0.16666666666666666,0.0,15.0,0.0,1.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier1_smoke,default,synthetic,relational,subset search · full,,,,,,,16.0,0.0,,,,,,,,,3.0,0.0,1330.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,1,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.15625,0.0,36.0,0.0,73.0,0.0,0.0,0.0,7.62939453125e-06,0.0,0.4375,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier1_smoke,default,synthetic,relational,subset search · random1:3,,,,,,,15.0,0.0,,,,,,,,,3.0,0.0,1330.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,1,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13333333333333333,0.0,0.23333333333333334,0.0,28.0,0.0,57.0,0.0,0.0,0.0,3.814697265625e-06,0.0,0.4375,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier1_smoke,default,synthetic,relational,calibration · full,,,,,,,124.0,0.0,,,,,,,,,,,,,,,,,,,1,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,0.04032258064516129,0.0,0.04435483870967742,0.0,0.12903225806451613,0.0,0.12903225806451613,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier1_smoke,default,synthetic,relational,calibration · random1:3,,,,,,,124.0,0.0,,,,,,,,,,,,,,,,,,,1,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,0.024193548387096774,0.0,0.024193548387096774,0.0,0.08064516129032258,0.0,0.08064516129032258,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
