experiment,variant,dataset,stage,method,log_partition_mean,log_partition_std,leaf_mean,leaf_std,sum_mean,sum_std,product_mean,product_std,nodes_mean,nodes_std,parameters_mean,parameters_std,optimizer_steps_mean,optimizer_steps_std,epochs_run_mean,epochs_run_std,best_epoch_mean,best_epoch_std,checkpoint_nll_mean,checkpoint_nll_std,fit_s_mean,fit_s_std,final_train_nll_mean,final_train_nll_std,lr_mean,lr_std,epochs_budget_mean,epochs_budget_std,batch_size_mean,batch_size_std,n_seeds,seeds,axis:variant,shortcut_auroc_mean,shortcut_auroc_std,shortcut_channel_mean,shortcut_channel_std,shortcut_n_dev_mean,shortcut_n_dev_std,shortcut_n_eval_mean,shortcut_n_eval_std,shortcut_features_mean,shortcut_features_std,components_mean,components_std,rank_mean,rank_std,selection_score_mean,selection_score_std,n_stabilizations_mean,n_stabilizations_std,oracle_max_error_mean,oracle_max_error_std,query_s_mean,query_s_std,warmup_s_mean,warmup_s_std,n_mean,n_std,n_observed_mean,n_observed_std,n_observed_min_mean,n_observed_min_std,n_observed_max_mean,n_observed_max_std,cost_passes_mean,cost_passes_std,cost_node_visits_mean,cost_node_visits_std,cost_boundary_visits_mean,cost_boundary_visits_std,cost_n_masks_mean,cost_n_masks_std,cost_seconds_mean,cost_seconds_std,cost_node_evaluations_mean,cost_node_evaluations_std,cost_boundary_elements_mean,cost_boundary_elements_std,cost_output_elements_mean,cost_output_elements_std,cost_peak_boundary_bytes_mean,cost_peak_boundary_bytes_std,empirical_log_dependence_mean_mean,empirical_log_dependence_mean_std,empirical_log_dependence_abs_mean_mean,empirical_log_dependence_abs_mean_std,empirical_log_dependence_sd_mean,empirical_log_dependence_sd_std,empirical_log_dependence_q05_mean,empirical_log_dependence_q05_std,empirical_log_dependence_q95_mean,empirical_log_dependence_q95_std,alpha_mean,alpha_std,calibration_n_mean,calibration_n_std,threshold_mean,threshold_std,score_range_mean,score_range_std,fpr_mean,fpr_std,power_mean,power_std,auroc_mean,auroc_std,ap_mean,ap_std,auroc[decouple]_mean,auroc[decouple]_std,auroc[desync]_mean,auroc[desync]_std,auroc[drift]_mean,auroc[drift]_std,auroc[offset]_mean,auroc[offset]_std,auroc[spike]_mean,auroc[spike]_std,loc_ap_mean,loc_ap_std,loc_ap_n_mean,loc_ap_n_std,loc_n_no_observed_target_mean,loc_n_no_observed_target_std,loc_n_all_observed_are_targets_mean,loc_n_all_observed_are_targets_std,loc_n_ambiguous_mean,loc_n_ambiguous_std,loc_n_unique_mean,loc_n_unique_std,loc_n_abstained_no_alarm_mean,loc_n_abstained_no_alarm_std,loc_unique_top1_accuracy_mean,loc_unique_top1_accuracy_std,end_to_end_unique_top1_mean,end_to_end_unique_top1_std,trials_mean,trials_std,trial_alpha_mean,trial_alpha_std,trial_fpr_mean_mean,trial_fpr_mean_std,trial_fpr_q05_mean,trial_fpr_q05_std,trial_fpr_q95_mean,trial_fpr_q95_std,trial_fpr_exceeds_alpha_frac_mean,trial_fpr_exceeds_alpha_frac_std,trial_power_mean_mean,trial_power_mean_std,trial_power_q05_mean,trial_power_q05_std,trial_infinite_threshold_frac_mean,trial_infinite_threshold_frac_std,trial_calibration_objects_mean,trial_calibration_objects_std,n_fits_mean,n_fits_std
diagnosis_fd001_candidate,chow_liu_leaf6,cmapss:FD001,diagnosis,model,3.5762786865234374e-08,1.8659205248950157e-07,2400.0,0.0,2385.0,0.0,19136.0,0.0,23921.0,0.0,195840.0,0.0,5981.8,3313.0501354492053,405.4,223.7471787531633,367.8,249.9493948782433,33.62898597717285,15.30382793207918,266.1052286148071,143.92063140846292,30.29203700268095,13.477899659325976,0.05,0.0,600.0,0.0,256.0,0.0,5,"[21, 22, 23, 24, 25]",chow_liu_leaf6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_fd001_candidate,chow_liu_leaf6,cmapss:FD001,diagnosis,shortcut audit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"[21, 22, 23, 24, 25]",chow_liu_leaf6,0.5481426998057025,0.007273642939779183,0.0,0.0,1185.2,153.5747375058802,887.2,135.73945631245175,42.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_fd001_candidate,chow_liu_leaf6,cmapss:FD001,diagnosis,model gaussian_fitted,,,,,,,,,,,45450.0,0.0,,,,,,,,,0.3003600065982027,0.07431381787063744,,,,,,,,,5,"[21, 22, 23, 24, 25]",chow_liu_leaf6,,,,,,,,,,,1.0,0.0,300.0,0.0,-173.81278311285612,4.833856374861458,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_fd001_candidate,chow_liu_leaf6,cmapss:FD001,diagnosis,query full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"[21, 22, 23, 24, 25]",chow_liu_leaf6,,,,,,,,,,,,,,,,,,,0.0,0.0,1.5144826318006381,0.5318621323173538,0.3635313168000721,0.08573583162611137,887.2,135.73945631245175,15.0,0.0,15.0,0.0,15.0,0.0,62.0,0.0,1483102.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,657904047.2,100657729.56795491,0.0,0.0,13308.0,2036.0918446867763,0.0,0.0,19.733942794799805,10.10790052651471,19.844028854370116,10.096329021269545,11.20127305984497,6.66957900594758,2.889174056053162,1.961425671315725,39.087528991699216,20.186352315528865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_fd001_candidate,chow_liu_leaf6,cmapss:FD001,diagnosis,joint | full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"[21, 22, 23, 24, 25]",chow_liu_leaf6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,10.0,0.0,67.53606948852538,20.01250388640719,4608.531298828125,3288.6249910440115,0.07084717346663069,0.0804851116698372,0.5982697443686966,0.0869927287854219,0.8255830065414571,0.015013553432156282,0.8715470543951234,0.011795918878832537,0.5047895546420964,0.02372438863744124,0.7158413208381912,0.0497314645254134,0.9995475566410628,0.0002609493764103204,0.9996643706965169,0.0004182972725514179,0.930390718626405,0.014540410580192046,0.7353061614425433,0.023741974850857345,443.6,67.86972815622588,0.0,0.0,0.0,0.0,0.0,0.0,443.6,67.86972815622588,175.6,34.30451865279558,0.7047297858035553,0.02775441801226547,0.5724912446019899,0.06299792573193704,200.0,0.0,0.1,0.0,0.07084717346663068,0.0804851116698372,0.07084717346663069,0.0804851116698372,0.07084717346663069,0.0804851116698372,0.4,0.5477225575051662,0.5982697443686966,0.08699272878542187,0.5982697443686966,0.0869927287854219,0.0,0.0,10.0,0.0,,
diagnosis_fd001_candidate,chow_liu_leaf6,cmapss:FD001,diagnosis,independent | full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"[21, 22, 23, 24, 25]",chow_liu_leaf6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,10.0,0.0,99.18516387939454,50.572408009743576,4564.810046386719,3278.983812799378,0.08693805919801685,0.08719362990268767,0.5217734389167501,0.11422926971914385,0.7726763700757944,0.024664160155263747,0.8275382520382231,0.02224057354291028,0.5101050274587712,0.019591228392412292,0.5012797000646363,0.018865057403393795,0.9915556399312949,0.005748586029215345,0.9892807229878937,0.010143194142216325,0.8942351641838526,0.04557010239224745,0.6749293175902218,0.03438447136678317,443.6,67.86972815622588,0.0,0.0,0.0,0.0,0.0,0.0,443.6,67.86972815622588,208.0,38.4642691338338,0.6262296374542564,0.037921585903038735,0.48726933914333975,0.0833875255464915,200.0,0.0,0.1,0.0,0.08693805919801684,0.08719362990268766,0.08693805919801685,0.08719362990268767,0.08693805919801685,0.08719362990268767,0.4,0.5477225575051662,0.52177343891675,0.11422926971914385,0.5217734389167501,0.11422926971914385,0.0,0.0,10.0,0.0,,
diagnosis_fd001_candidate,chow_liu_leaf6,cmapss:FD001,diagnosis,marginal_max | full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"[21, 22, 23, 24, 25]",chow_liu_leaf6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,10.0,0.0,28.880727005004882,3.01793637393322,3886.692950439453,3491.52619605658,0.11696690874230824,0.06865333401223918,0.6268619198121301,0.034329642280721086,0.7899180667750855,0.021804261153869804,0.8524046258278062,0.017720961620058175,0.4893281677831345,0.014393751189459604,0.5039092645213883,0.021324310211737023,0.9992774761558387,0.0012029797797414852,0.9992555572137742,0.0009859905377323905,0.9766443798901945,0.012988656980023824,0.6749293175902218,0.03438447136678317,443.6,67.86972815622588,0.0,0.0,0.0,0.0,0.0,0.0,443.6,67.86972815622588,164.2,19.94241710525582,0.6262296374542564,0.037921585903038735,0.5796143369231151,0.03875874206749352,200.0,0.0,0.1,0.0,0.11696690874230824,0.06865333401223916,0.11696690874230824,0.06865333401223918,0.11696690874230824,0.06865333401223918,0.8,0.4472135954999579,0.6268619198121301,0.03432964228072117,0.6268619198121301,0.034329642280721086,0.0,0.0,10.0,0.0,,
diagnosis_fd001_candidate,chow_liu_leaf6,cmapss:FD001,diagnosis,conditional_max | full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"[21, 22, 23, 24, 25]",chow_liu_leaf6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,10.0,0.0,27.349846649169923,2.5029101101372335,3899.2590759277346,3481.760145150422,0.10990563863238316,0.13226697484193295,0.694245442911377,0.04480062438089136,0.8346668125129153,0.016698753861435208,0.8866516502310269,0.01259070901199535,0.47664043369424147,0.02298093993525442,0.7334198303715695,0.027664403536175247,1.0,0.0,0.9999873701493479,2.8241204603595554e-05,0.9834107173519039,0.006396596427053113,0.7353061614425433,0.023741974850857345,443.6,67.86972815622588,0.0,0.0,0.0,0.0,0.0,0.0,443.6,67.86972815622588,137.2,33.759443123369195,0.7047297858035553,0.02775441801226547,0.6572004595686096,0.023417838540256638,200.0,0.0,0.1,0.0,0.10990563863238316,0.13226697484193295,0.10990563863238316,0.13226697484193295,0.10990563863238316,0.13226697484193295,0.4,0.5477225575051662,0.694245442911377,0.04480062438089132,0.694245442911377,0.04480062438089136,0.0,0.0,10.0,0.0,,
diagnosis_fd001_candidate,chow_liu_leaf6,cmapss:FD001,diagnosis,relational_max | full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"[21, 22, 23, 24, 25]",chow_liu_leaf6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,10.0,0.0,4.598302841186523,1.8373351692371414,136.43910522460936,41.86826341544274,0.08443423614841904,0.0893593742655982,0.5393079031538631,0.07830646215566922,0.7735107487813879,0.016525666010154785,0.8306821845370538,0.014615900442357058,0.49574456421033075,0.02917908643728089,0.8126775964716781,0.03900925702898102,0.9864789911180974,0.00504521922962163,0.9710574658018565,0.022251018387453515,0.6398920306040334,0.03528438339507973,0.5608312304193395,0.02585811316628838,443.6,67.86972815622588,0.0,0.0,0.0,0.0,7.6,8.264381404557755,436.0,62.35783832045495,202.4,52.026916110797885,0.5575047329757756,0.03381579550533931,0.4490574964635254,0.04193227794956396,200.0,0.0,0.1,0.0,0.08443423614841902,0.08935937426559819,0.08443423614841904,0.0893593742655982,0.08443423614841904,0.0893593742655982,0.2,0.44721359549995804,0.5393079031538631,0.07830646215566918,0.5393079031538631,0.07830646215566922,0.0,0.0,10.0,0.0,,
diagnosis_fd001_candidate,chow_liu_leaf6,cmapss:FD001,diagnosis,query full | gaussian_fitted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"[21, 22, 23, 24, 25]",chow_liu_leaf6,,,,,,,,,,,,,,,,,,,0.0,0.0,0.9964712460001465,0.21062749005292644,0.00965565520018572,0.0012129491270993456,887.2,135.73945631245175,15.0,0.0,15.0,0.0,15.0,0.0,62.0,0.0,9600.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4258560.0,651549.3902997684,0.0,0.0,13308.0,2036.0918446867763,10214400.0,0.0,13.329777003869216,1.5543593515948448,13.355839647544675,1.5460085581799095,6.382728319382428,0.6669270335945952,3.3211351390002966,1.1015360851697147,23.963887836742643,2.6153474297859933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
