epoch,value
0,31295.14612254844
1,1691.645124744783
2,265.6837527067765
3,186.2809868854025
4,177.68380496740792
5,177.7785331971253
6,177.98863257712813
7,177.44537433126698
8,174.1836015784222
9,176.99626269277417
10,176.03678568099082
11,173.46290398581493
12,172.79627830346726
13,179.3904960473679
14,177.3218101746644
15,176.95637268758676
16,178.66281661554635
17,175.0510136104937
18,179.57367423910276
19,177.1340686819729
20,175.56913888855559
21,176.23236040140594
22,174.72740932529499
23,173.62729028943355
24,173.06111664222183
25,174.83719409733504
26,175.34972413609293
27,175.78408059478932
28,175.23062072061637
29,173.92941572048713
30,174.20358195025437
31,175.7628264919346
32,180.40464851364973
33,176.45027914642162
34,176.75523300892013
35,181.6479087728634
36,179.1627461251329
37,178.21232726127755
38,174.69822093480477
39,176.24452917895832
40,179.01328538054554
41,175.2446647543087
42,174.9426437349085
43,173.83087980850883
44,173.53352665747948
45,175.58465535789446
46,177.60372069850987
47,178.65422879022552
48,176.38581660654685
49,175.2703817904784
