epoch,value
0,19924.184288828816
1,1775.8836786515205
2,344.4221092032219
3,233.266377275935
4,211.16382742544002
5,201.3655156927154
6,195.2629201592109
7,191.9943315621382
8,191.45926523630024
9,189.90694881312137
10,187.84356853347666
11,187.2202238786958
12,188.161677201697
13,187.78799507976146
14,187.04518752937653
15,186.5138429580782
16,186.9222762822943
17,186.07163163320618
18,185.09246023296095
19,184.27376765413888
20,183.97451948195717
21,182.99752814878337
22,183.2015832917857
23,181.91460962768804
24,182.62402578181428
25,182.72192503140135
26,181.46032122541334
27,181.66502906285848
28,181.7611541333124
29,180.83297276188938
30,181.3889681403123
31,180.65355689115543
32,180.92316402017786
33,180.89472420988724
34,181.43942968185704
35,182.20093554529828
36,182.12497123547107
37,182.07255708757992
38,181.79752656377795
39,181.97371929280212
40,181.74810008885987
41,181.5083706438906
42,181.43654249283344
43,181.32598762849332
44,181.3803967878496
45,181.06361314474037
46,180.86620772184764
47,180.90706930672692
48,180.8107219724571
49,180.85984362427837
50,180.6897010517963
51,180.6879047365273
52,180.46773738070138
53,180.44737411696113
54,180.3640033402952
55,180.3695004772443
56,180.37330646112937
57,180.39215711312258
58,180.22984318114072
59,180.19817452395068
