epoch,value
0,31483.995563194116
1,1774.1489792706611
2,274.51130777225603
3,174.22671845693895
4,157.4988761973967
5,141.59794380750458
6,125.37560298753822
7,114.10437374006823
8,110.0131457323388
9,106.82954348472205
10,101.70626301467982
11,106.75077950201774
12,95.2339468106881
13,90.21098949814564
14,92.51036749336805
15,88.37729491322162
16,80.93573285915902
17,79.91648533898626
18,75.75016531124007
19,71.78171060197971
20,75.35781116161094
21,83.13867436140382
22,81.65153963200763
23,72.22876381829015
24,74.76322255125568
25,69.6046110849074
26,67.25900345569748
27,64.88880535623302
28,59.867379902080685
29,77.63904781521832
30,65.58377707901434
31,67.32199245806227
32,64.26945427243786
33,63.70714155171905
34,62.36952697955818
35,59.94225633906056
36,59.22724259057433
37,66.23419413864049
38,67.22319975710546
39,71.50357081047304
40,69.4189405502579
41,72.77908205201811
42,67.9511313570019
43,68.18562084695567
44,68.7920568801505
45,77.78079817254512
46,72.71711525583538
47,69.52910287204446
48,72.34923324729183
49,82.36753824446738
