epoch,value
0,31858.692124734167
1,1714.8490404904226
2,269.72975199073835
3,189.19828905996167
4,177.28267384981612
5,176.21247721277248
6,176.36477302882983
7,175.44498897328944
8,174.95678530947248
9,174.2409365388982
10,174.64685521837893
11,173.03581667577387
12,173.0928762453941
13,175.061933919117
14,173.9812877921842
15,173.90771348805418
16,173.37217346076028
17,173.72271223735268
18,172.73184595234227
19,183.58704092101473
20,174.2980335487986
21,171.50789618969864
22,175.98594459000066
23,174.90588685235815
24,176.96049786803854
25,174.91277096032647
26,173.2325607213271
27,173.7663305214087
28,171.95994226351127
29,174.2166892269834
30,171.65130574851946
31,172.96682445619868
32,175.75269731546845
33,173.70999815856126
34,170.47191261911664
35,173.2159409982721
36,175.35360208377946
37,171.29883100945918
38,174.27478250023998
39,171.5546590361568
40,169.4276065242313
41,179.43636977659057
42,177.5579730028466
43,172.89236439234367
44,170.44533711597464
45,180.11965911230652
46,173.17204973476822
47,172.73976929633963
48,177.67036229730329
49,176.4668118972634
