experiment,variant,dataset,stage,method,log_partition_mean,log_partition_std,leaf_mean,leaf_std,sum_mean,sum_std,product_mean,product_std,nodes_mean,nodes_std,parameters_mean,parameters_std,optimizer_steps_mean,optimizer_steps_std,epochs_run_mean,epochs_run_std,best_epoch_mean,best_epoch_std,checkpoint_nll_mean,checkpoint_nll_std,n_seeds,seeds,axis:variant,oracle_max_error_mean,oracle_max_error_std,query_s_mean,query_s_std,warmup_s_mean,warmup_s_std,n_mean,n_std,n_observed_mean,n_observed_std,cost_passes_mean,cost_passes_std,cost_node_visits_mean,cost_node_visits_std,cost_boundary_visits_mean,cost_boundary_visits_std,cost_n_masks_mean,cost_n_masks_std,cost_seconds_mean,cost_seconds_std,cost_node_evaluations_mean,cost_node_evaluations_std,cost_boundary_elements_mean,cost_boundary_elements_std,cost_output_elements_mean,cost_output_elements_std,cost_peak_boundary_bytes_mean,cost_peak_boundary_bytes_std,empirical_log_dependence_mean_mean,empirical_log_dependence_mean_std,empirical_log_dependence_abs_mean_mean,empirical_log_dependence_abs_mean_std,empirical_log_dependence_sd_mean,empirical_log_dependence_sd_std,empirical_log_dependence_q05_mean,empirical_log_dependence_q05_std,empirical_log_dependence_q95_mean,empirical_log_dependence_q95_std,alpha_mean,alpha_std,calibration_n_mean,calibration_n_std,threshold_mean,threshold_std,score_range_mean,score_range_std,fpr_mean,fpr_std,power_mean,power_std,auroc_mean,auroc_std,ap_mean,ap_std,auroc[independent_block]_mean,auroc[independent_block]_std,loc_ap_mean,loc_ap_std,loc_ap_n_mean,loc_ap_n_std,loc_n_no_observed_target_mean,loc_n_no_observed_target_std,loc_n_all_observed_are_targets_mean,loc_n_all_observed_are_targets_std,loc_n_ambiguous_mean,loc_n_ambiguous_std,loc_n_unique_mean,loc_n_unique_std,loc_unique_top1_accuracy_mean,loc_unique_top1_accuracy_std,end_to_end_unique_top1_mean,end_to_end_unique_top1_std
diagnosis_smoke,conditional,synthetic,diagnosis,known-law conditional_max | full,,,,,,,,,,,,,,,,,,,,,1,[11],conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,0.0,0.7759696671207159,0.0,0.71,0.0,,,,,,,,,,,,,,,,
diagnosis_smoke,conditional,synthetic,diagnosis,known-law relational_max | full,,,,,,,,,,,,,,,,,,,,,1,[11],conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7975,0.0,0.8553620796555579,0.0,0.7975,0.0,,,,,,,,,,,,,,,,
diagnosis_smoke,conditional,synthetic,diagnosis,query random1:0,,,,,,,,,,,,,,,,,,,,,1,[11],conditional,2.384185791015625e-07,0.0,0.0006362090025504585,0.0,0.0006388330002664588,0.0,40.0,0.0,2.0,0.0,3.0,0.0,64.0,0.0,6.0,0.0,1.0,0.0,0.00059,0.0,2560.0,0.0,480.0,0.0,120.0,0.0,960.0,0.0,8.344650268554688e-07,0.0,8.344650268554688e-07,0.0,1.1861174016303266e-06,0.0,0.0,0.0,2.956390289909905e-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_smoke,conditional,synthetic,diagnosis,joint | random1:0,,,,,,,,,,,,,,,,,,,,,1,[11],conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,20.0,0.0,7.4183268547058105,0.0,6.158175468444824,0.0,0.15,0.0,0.15,0.0,0.5,0.0,0.5,0.0,0.5,0.0,,,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
diagnosis_smoke,conditional,synthetic,diagnosis,independent | random1:0,,,,,,,,,,,,,,,,,,,,,1,[11],conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,20.0,0.0,7.418329238891602,0.0,6.158180236816406,0.0,0.15,0.0,0.15,0.0,0.5,0.0,0.5,0.0,0.5,0.0,,,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
diagnosis_smoke,conditional,synthetic,diagnosis,marginal_max | random1:0,,,,,,,,,,,,,,,,,,,,,1,[11],conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,20.0,0.0,4.322040557861328,0.0,3.7217113971710205,0.0,0.15,0.0,0.15,0.0,0.5,0.0,0.5,0.0,0.5,0.0,,,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
diagnosis_smoke,conditional,synthetic,diagnosis,conditional_max | random1:0,,,,,,,,,,,,,,,,,,,,,1,[11],conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,20.0,0.0,4.322040557861328,0.0,3.7217066287994385,0.0,0.15,0.0,0.15,0.0,0.5,0.0,0.5,0.0,0.5,0.0,,,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
diagnosis_smoke,conditional,synthetic,diagnosis,relational_max | random1:0,,,,,,,,,,,,,,,,,,,,,1,[11],conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,20.0,0.0,4.76837158203125e-07,0.0,5.245208740234375e-06,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,,,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
diagnosis_smoke,conditional,synthetic,diagnosis,known-law joint | random1:0,,,,,,,,,,,,,,,,,,,,,1,[11],conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.0,0.5,0.0,0.5,0.0,,,,,,,,,,,,,,,,
diagnosis_smoke,conditional,synthetic,diagnosis,known-law independent | random1:0,,,,,,,,,,,,,,,,,,,,,1,[11],conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.0,0.5,0.0,0.5,0.0,,,,,,,,,,,,,,,,
diagnosis_smoke,conditional,synthetic,diagnosis,known-law marginal_max | random1:0,,,,,,,,,,,,,,,,,,,,,1,[11],conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.0,0.5,0.0,0.5,0.0,,,,,,,,,,,,,,,,
diagnosis_smoke,conditional,synthetic,diagnosis,known-law conditional_max | random1:0,,,,,,,,,,,,,,,,,,,,,1,[11],conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.0,0.5,0.0,0.5,0.0,,,,,,,,,,,,,,,,
diagnosis_smoke,conditional,synthetic,diagnosis,known-law relational_max | random1:0,,,,,,,,,,,,,,,,,,,,,1,[11],conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.0,0.5,0.0,0.5,0.0,,,,,,,,,,,,,,,,
diagnosis_smoke,conditional,synthetic,diagnosis,query bank0:0,,,,,,,,,,,,,,,,,,,,,1,[11],conditional,2.384185791015625e-07,0.0,0.000628875000984408,0.0,0.0006110829999670386,0.0,40.0,0.0,2.0,0.0,3.0,0.0,64.0,0.0,6.0,0.0,1.0,0.0,0.000583,0.0,2560.0,0.0,480.0,0.0,120.0,0.0,960.0,0.0,8.344650268554688e-07,0.0,8.344650268554688e-07,0.0,1.1861174016303266e-06,0.0,0.0,0.0,2.956390289909905e-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_smoke,conditional,synthetic,diagnosis,joint | bank0:0,,,,,,,,,,,,,,,,,,,,,1,[11],conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,20.0,0.0,7.4183268547058105,0.0,6.158175468444824,0.0,0.15,0.0,0.15,0.0,0.5,0.0,0.5,0.0,0.5,0.0,,,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
diagnosis_smoke,conditional,synthetic,diagnosis,independent | bank0:0,,,,,,,,,,,,,,,,,,,,,1,[11],conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,20.0,0.0,7.418329238891602,0.0,6.158180236816406,0.0,0.15,0.0,0.15,0.0,0.5,0.0,0.5,0.0,0.5,0.0,,,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
diagnosis_smoke,conditional,synthetic,diagnosis,marginal_max | bank0:0,,,,,,,,,,,,,,,,,,,,,1,[11],conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,20.0,0.0,4.322040557861328,0.0,3.7217113971710205,0.0,0.15,0.0,0.15,0.0,0.5,0.0,0.5,0.0,0.5,0.0,,,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
diagnosis_smoke,conditional,synthetic,diagnosis,conditional_max | bank0:0,,,,,,,,,,,,,,,,,,,,,1,[11],conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,20.0,0.0,4.322040557861328,0.0,3.7217066287994385,0.0,0.15,0.0,0.15,0.0,0.5,0.0,0.5,0.0,0.5,0.0,,,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
diagnosis_smoke,conditional,synthetic,diagnosis,relational_max | bank0:0,,,,,,,,,,,,,,,,,,,,,1,[11],conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,20.0,0.0,4.76837158203125e-07,0.0,5.245208740234375e-06,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,,,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
diagnosis_smoke,conditional,synthetic,diagnosis,known-law joint | bank0:0,,,,,,,,,,,,,,,,,,,,,1,[11],conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.0,0.5,0.0,0.5,0.0,,,,,,,,,,,,,,,,
diagnosis_smoke,conditional,synthetic,diagnosis,known-law independent | bank0:0,,,,,,,,,,,,,,,,,,,,,1,[11],conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.0,0.5,0.0,0.5,0.0,,,,,,,,,,,,,,,,
