epoch,value
0,45391.87288257621
1,4691.915161409721
2,590.4911179309981
3,242.17549112532674
4,195.48340542942904
5,176.52266950120548
6,168.91492708779464
7,165.0952898396887
8,161.45225063965768
9,162.40244813280881
10,164.08073154730698
11,164.55197003946864
12,163.55216605000774
13,161.4259713127843
14,162.02667990902646
15,160.88314007072233
16,162.74004162966867
17,163.41258705297804
18,161.6444549560547
19,159.55929162759185
20,158.7093547972479
21,157.6704102197081
22,154.93589864633483
23,154.5865678639403
24,154.23824802679917
25,156.37188534943954
26,156.582810521261
27,154.22022754690823
28,155.06080434759534
29,154.70398028829823
30,154.95618117103504
31,154.66632601588344
32,154.33883446042614
33,153.9874447683756
34,153.91581561083154
35,153.8096715224037
36,153.74656659362446
37,153.59601561000082
38,153.57083705620866
39,153.5240314562965
40,153.28350463174917
41,153.36509166926652
42,153.37319161716167
43,153.33363687266475
44,153.2115013771562
45,153.16271337498338
46,153.12611683374993
47,153.0884091584579
48,153.0946497089696
49,152.96121305238546
