variant,method_name,mask,score,auroc_mean,auroc_std,ap_mean,ap_std,fpr_mean,fpr_std,power_mean,power_std,score_range_mean,score_range_std,n_seeds,seeds,numerically_flat_frac,threshold_infinite_frac,depends_on_values_frac,depends_on_fault_frac
blocked,circuit,bank0:0-1-2-4-5-7-8,conditional_max,0.7361667734994765,0.015056242339481269,0.8058989283356671,0.014668558499824362,0.034404351296483705,0.028240433232629876,0.46806323812948686,0.03431736946941712,504.4477030436198,78.6315518138294,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,bank0:0-1-2-4-5-7-8,independent,0.7289671055938031,0.009581295161397257,0.7929401491264926,0.01057820261552511,0.06644539233874087,0.010302185313911548,0.45941515380874104,0.03017467890755133,811.6268920898438,221.68596070133532,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,bank0:0-1-2-4-5-7-8,joint,0.7344481733164092,0.01051982452079446,0.7972179901079935,0.011379181994580654,0.06724860519014648,0.00902814094329172,0.47177067653491855,0.03676132971866486,816.0904744466146,217.17672404012453,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,bank0:0-1-2-4-5-7-8,marginal_max,0.7296749215607997,0.017494986638096684,0.8002231829111016,0.016243717596777656,0.03917033466122228,0.0327584746608407,0.45882730275746525,0.03918195494320695,504.48451741536456,77.98691705079928,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,bank0:0-1-2-4-5-7-8,relational_max,0.6263086507724701,0.021648045580930225,0.6759246973268592,0.018008004850506524,0.03245208321437409,0.04616931016093962,0.19464017206265818,0.10679514700120474,11.583422342936197,1.2195120132730712,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,bank1:3,conditional_max,0.8022068535074004,0.002825777322215401,0.8592399958188309,0.0020826745599361505,0.0303861002141064,0.021719241607148526,0.5861886995395112,0.01330320376199834,502.1044616699219,78.60530256031548,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,bank1:3,independent,0.7769171585974811,0.005550521024315964,0.8319103300509544,0.009376017305565865,0.08082895259570094,0.0716074969217591,0.5381338199424702,0.08243220061577812,688.5291341145834,144.29114050892278,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,bank1:3,joint,0.7912331813668634,0.00897298113149937,0.8417808238135457,0.011815320400499284,0.07608961610280994,0.06339951683629276,0.5520550691219045,0.08229916411394238,689.0575154622396,149.2200866728768,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,bank1:3,marginal_max,0.7880842206643969,0.004122894694493334,0.8497260746977643,0.0038708433622485286,0.028766351075371368,0.016824045960309904,0.5722134276745988,0.015977196479598874,501.8612772623698,78.21678110392722,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,bank1:3,relational_max,0.7071563002687055,0.015675285989853276,0.7636436544149202,0.021081378460576634,0.01337409737771293,0.017201121102367472,0.31512922720426934,0.08836311928601573,12.250689188639322,0.6374520243890186,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,bank2:6-10,conditional_max,0.7971891544710408,0.0021086099924135094,0.8547510092095331,0.0015040035410651027,0.0303861002141064,0.021719241607148526,0.5740485386134636,0.01243721240783689,333.2581787109375,12.78389926210471,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,bank2:6-10,independent,0.7737359717627187,0.0022431559664889134,0.8281943006961957,0.008408542028489738,0.10566974968544136,0.04598595323983431,0.5578087686026956,0.06606097629057435,836.3560791015625,39.87258665579287,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,bank2:6-10,joint,0.7867116935234773,0.003500435656706505,0.8369974993761783,0.00901737985664538,0.0936482037862046,0.05447347266161877,0.5620914635652624,0.06829804627842401,842.2710367838541,43.08256261497413,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,bank2:6-10,marginal_max,0.784190900781165,0.0024935812523640207,0.846143236470272,0.001986615338459763,0.028766351075371368,0.016824045960309904,0.561572376022189,0.013195923701953109,332.2225850423177,12.475745906563185,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,bank2:6-10,relational_max,0.6973155832078121,0.023436281600430323,0.7615607261339501,0.02447147473882922,0.027831928703014135,0.023492824046001257,0.34495541913545075,0.07479851882082092,12.248565673828125,0.6391961838062885,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,full,conditional_max,0.8027690109678508,0.0023700393262234168,0.8598684162461595,0.0018158632171502548,0.0303861002141064,0.021719241607148526,0.5876878088131491,0.012091695443299208,502.10448201497394,78.60523312585015,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,full,independent,0.78211862212409,0.00482483629330425,0.8372973612887812,0.009544772907285783,0.07999488120881225,0.042270185359665466,0.5502838215825893,0.05576008859941484,922.5198974609375,139.92446801781068,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,full,joint,0.7940642439295645,0.008364309027409244,0.8451831643657494,0.01137853215026492,0.08082474093206546,0.03695764254916276,0.5705508329577259,0.06283413038151431,930.7906901041666,137.96434265697883,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,full,marginal_max,0.7905422335773672,0.003153694302454708,0.8520545925134915,0.002563845683321885,0.028766351075371368,0.016824045960309904,0.5791877401711313,0.012091477643216856,501.8612772623698,78.21678110392722,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,full,relational_max,0.7055625487002096,0.022812136518141988,0.7658129858945909,0.02355531279420211,0.01337409737771293,0.017201121102367472,0.31361679449470764,0.08967792965464723,12.250666300455729,0.6374409251964372,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,random1:1,conditional_max,0.8007092141411946,0.006698036017842864,0.8575144801649013,0.004942688221309109,0.06751090274175252,0.055404758043418344,0.5967806691118613,0.029578966888270927,503.36034138997394,78.46545250559552,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,random1:1,independent,0.778035801218507,0.0023756892463662454,0.8333419323353369,0.00713766624603138,0.07715727283440509,0.02974691749636056,0.533847642258051,0.0579218979454498,924.78076171875,135.64104768502412,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,random1:1,joint,0.7886276916181011,0.00461990893615534,0.8404995943163933,0.008401329224133655,0.07947291839537235,0.027908119601869393,0.5524275583730506,0.06337829787067834,931.2006225585938,130.63452181036584,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,random1:1,marginal_max,0.7873303811955253,0.005494044400040973,0.8488963490629722,0.003727703318428216,0.06984060068042665,0.06430892544815717,0.5883479465912455,0.03247403198193601,503.39662679036456,78.21461549142086,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,random1:1,relational_max,0.7023310010751431,0.017989330195708055,0.7619087158805068,0.02166433629778232,0.005461879786970813,0.005532634578577146,0.28796784394814307,0.0667530913002803,12.181679407755533,0.740648460684673,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,random3:5-8-14,conditional_max,0.7797562479577707,0.00541586470071725,0.8425186873479559,0.0032775170626403744,0.068393448757215,0.04595715193445291,0.5728658710672072,0.030228213427721504,502.0988260904948,78.5922493916054,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,random3:5-8-14,independent,0.7642213779814973,0.005779585285198224,0.8219182466839134,0.00812907994980879,0.10438831052757973,0.06552884196419492,0.5485324174584797,0.06410691033906235,840.4746704101562,198.19527149964074,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,random3:5-8-14,joint,0.7733819440463675,0.008414503479065819,0.828217700299593,0.009285958635255992,0.10517819994306155,0.06613791832960506,0.5641141150262033,0.061530388855637386,841.4019571940104,202.0648961330021,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,random3:5-8-14,marginal_max,0.7693518342876392,0.004826815040515093,0.8350936781348679,0.003547683572155172,0.07031979890926011,0.04832707520457145,0.5615289229925652,0.027846686953322847,502.5273030598958,77.72640535689116,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,random3:5-8-14,relational_max,0.6760526433895624,0.0260215496381913,0.7322435526239449,0.020702462904651525,0.02134033765393327,0.03489654553678406,0.2327570238602894,0.10849480253325883,10.83739948272705,0.9635794289804428,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,random7:3-4-8-10-11-12-14,conditional_max,0.749628536623029,0.004145903865165323,0.8177492273680631,0.002393260948450288,0.05447017473949443,0.05014186164989833,0.5103272017180348,0.037829608059034285,439.83925374348956,35.88082875837813,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,random7:3-4-8-10-11-12-14,independent,0.7309792324229424,0.0027364286622501735,0.7966430598173133,0.007712208902587061,0.054359254098171446,0.017684550522371348,0.46909716105523236,0.029846676173633877,571.1554565429688,73.23927391826025,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
