variant,method_name,mask,score,loc_ap_mean,loc_ap_std,loc_ap_n_mean,loc_ap_n_std,loc_unique_top1_accuracy_mean,loc_unique_top1_accuracy_std,end_to_end_unique_top1_mean,end_to_end_unique_top1_std,loc_n_ambiguous_mean,loc_n_ambiguous_std,loc_n_abstained_no_alarm_mean,loc_n_abstained_no_alarm_std,loc_n_no_observed_target_mean,loc_n_no_observed_target_std,loc_n_all_observed_are_targets_mean,loc_n_all_observed_are_targets_std,n_seeds,seeds,numerically_flat_frac,threshold_infinite_frac,depends_on_values_frac,depends_on_fault_frac
blocked,circuit,bank0:0-1-2-4-5-7-8,conditional_max,0.7441359528171835,0.0022854940305127077,329.3333333333333,35.64173583501978,0.6849465215655292,0.0071278684509847425,0.45079371635984294,0.023122679774073337,0.0,0.0,128.66666666666666,18.903262505010435,106.33333333333333,7.571877794400366,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,bank0:0-1-2-4-5-7-8,independent,0.7361868311925642,0.0007286323514435343,329.3333333333333,35.64173583501978,0.6710438843155412,0.0029523898789787337,0.41525638704864837,0.009135548119213499,0.0,0.0,134.33333333333334,18.823743871327334,106.33333333333333,7.571877794400366,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,bank0:0-1-2-4-5-7-8,joint,0.7441359528171835,0.0022854940305127077,329.3333333333333,35.64173583501978,0.6849465215655292,0.0071278684509847425,0.42443902867697475,0.013481852755018158,0.0,0.0,129.66666666666666,20.108041509140897,106.33333333333333,7.571877794400366,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,bank0:0-1-2-4-5-7-8,marginal_max,0.7361868311925642,0.0007286323514435343,329.3333333333333,35.64173583501978,0.6710438843155412,0.0029523898789787337,0.4399646787209339,0.02836810955540045,0.0,0.0,133.0,19.0,106.33333333333333,7.571877794400366,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,bank0:0-1-2-4-5-7-8,relational_max,0.5223573322468683,0.007856085901652704,329.3333333333333,35.64173583501978,0.6320196503777362,0.09932279915290303,0.1574494812971762,0.06543811832459911,140.33333333333334,45.70922591045853,108.0,26.664583251946766,106.33333333333333,7.571877794400366,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,bank1:3,conditional_max,0.7087009735147668,0.003941406340941354,425.0,28.160255680657446,0.656411026889008,0.003671210644913698,0.5791477698633599,0.005056356667247954,0.0,0.0,169.66666666666666,13.650396819628847,10.666666666666666,2.5166114784235836,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,bank1:3,independent,0.6803000260589304,0.005567382608328382,425.0,28.160255680657446,0.6337952849926163,0.012651283556391493,0.5069423200516091,0.05421577463585848,0.0,0.0,192.33333333333334,43.66157731156002,10.666666666666666,2.5166114784235836,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,bank1:3,joint,0.7087009735147668,0.003941406340941354,425.0,28.160255680657446,0.656411026889008,0.003671210644913698,0.5184939009845979,0.05159834771073384,0.0,0.0,186.33333333333334,43.84442191811102,10.666666666666666,2.5166114784235836,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,bank1:3,marginal_max,0.6803000260589304,0.005567382608328382,425.0,28.160255680657446,0.6337952849926163,0.012651283556391493,0.5651858214343711,0.011321766466743842,0.0,0.0,175.66666666666666,13.051181300301263,10.666666666666666,2.5166114784235836,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,bank1:3,relational_max,0.47096303499888653,0.032447863905501445,425.0,28.160255680657446,0.6155206143601832,0.06784842889932911,0.2987842870929113,0.08015421367105656,126.0,42.930175867331364,162.66666666666666,35.47299442298794,10.666666666666666,2.5166114784235836,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
