experiment,variant,dataset,stage,method,log_partition_mean,log_partition_std,leaf_mean,leaf_std,sum_mean,sum_std,product_mean,product_std,nodes_mean,nodes_std,parameters_mean,parameters_std,optimizer_steps_mean,optimizer_steps_std,epochs_run_mean,epochs_run_std,best_epoch_mean,best_epoch_std,checkpoint_nll_mean,checkpoint_nll_std,fit_s_mean,fit_s_std,final_train_nll_mean,final_train_nll_std,lr_mean,lr_std,epochs_budget_mean,epochs_budget_std,batch_size_mean,batch_size_std,n_seeds,seeds,axis:variant,shortcut_auroc_mean,shortcut_auroc_std,shortcut_channel_mean,shortcut_channel_std,shortcut_n_dev_mean,shortcut_n_dev_std,shortcut_n_eval_mean,shortcut_n_eval_std,shortcut_features_mean,shortcut_features_std,oracle_max_error_mean,oracle_max_error_std,query_s_mean,query_s_std,warmup_s_mean,warmup_s_std,n_mean,n_std,n_observed_mean,n_observed_std,n_observed_min_mean,n_observed_min_std,n_observed_max_mean,n_observed_max_std,cost_passes_mean,cost_passes_std,cost_node_visits_mean,cost_node_visits_std,cost_boundary_visits_mean,cost_boundary_visits_std,cost_n_masks_mean,cost_n_masks_std,cost_seconds_mean,cost_seconds_std,cost_node_evaluations_mean,cost_node_evaluations_std,cost_boundary_elements_mean,cost_boundary_elements_std,cost_output_elements_mean,cost_output_elements_std,cost_peak_boundary_bytes_mean,cost_peak_boundary_bytes_std,empirical_log_dependence_mean_mean,empirical_log_dependence_mean_std,empirical_log_dependence_abs_mean_mean,empirical_log_dependence_abs_mean_std,empirical_log_dependence_sd_mean,empirical_log_dependence_sd_std,empirical_log_dependence_q05_mean,empirical_log_dependence_q05_std,empirical_log_dependence_q95_mean,empirical_log_dependence_q95_std,alpha_mean,alpha_std,calibration_n_mean,calibration_n_std,threshold_mean,threshold_std,score_range_mean,score_range_std,fpr_mean,fpr_std,power_mean,power_std,auroc_mean,auroc_std,ap_mean,ap_std,auroc[decouple]_mean,auroc[decouple]_std,auroc[desync]_mean,auroc[desync]_std,auroc[drift]_mean,auroc[drift]_std,auroc[offset]_mean,auroc[offset]_std,auroc[spike]_mean,auroc[spike]_std,loc_ap_mean,loc_ap_std,loc_ap_n_mean,loc_ap_n_std,loc_n_no_observed_target_mean,loc_n_no_observed_target_std,loc_n_all_observed_are_targets_mean,loc_n_all_observed_are_targets_std,loc_n_ambiguous_mean,loc_n_ambiguous_std,loc_n_unique_mean,loc_n_unique_std,loc_n_abstained_no_alarm_mean,loc_n_abstained_no_alarm_std,loc_unique_top1_accuracy_mean,loc_unique_top1_accuracy_std,end_to_end_unique_top1_mean,end_to_end_unique_top1_std
diagnosis_fd001,unblocked,cmapss:FD001,diagnosis,model,4.967053731282552e-07,3.2827678604639185e-07,2400.0,0.0,2385.0,0.0,19136.0,0.0,23921.0,0.0,174240.0,0.0,2760.0,103.92304845413264,180.0,0.0,176.0,3.0,43.27114232381185,5.586714232758477,51.29836026827494,4.676622945931717,38.10093603716208,1.6655789399065912,0.02,0.0,180.0,0.0,256.0,0.0,3,"[11, 12, 13]",unblocked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_fd001,unblocked,cmapss:FD001,diagnosis,shortcut audit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",unblocked,0.5580858376836484,0.011033518695286345,0.0,0.0,1128.0,157.12415473121885,871.3333333333334,59.87765303795175,42.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_fd001,unblocked,cmapss:FD001,diagnosis,query full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",unblocked,,,,,,,,,,,0.0,0.0,0.4932598003336655,0.04130872314926499,0.14868403299866864,0.0033295994940288304,871.3333333333334,59.87765303795175,15.0,0.0,15.0,0.0,15.0,0.0,62.0,0.0,1483102.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,646138104.6666666,44402333.48794616,0.0,0.0,13070.0,898.1647955692764,0.0,0.0,32.43586540222168,4.730200542178378,32.45670954386393,4.746032219204467,18.31550661722819,1.710866174228907,8.22676944732666,1.000997462756346,67.43444442749023,8.405041443288482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_fd001,unblocked,cmapss:FD001,diagnosis,joint | full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",unblocked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10000000000000002,1.6996749443881478e-17,10.0,0.0,71.56345876057942,15.910275933200344,1080.323221842448,178.11453920115395,0.09478814724462031,0.073327513646601,0.6129551583362794,0.07096226584325734,0.8204688652064925,0.005983825638815812,0.8655414908108711,0.00841942175110772,0.5144888316284726,0.004184921074468197,0.6848789985507931,0.01849414977375013,0.9994238322153138,0.0006238785976066775,0.999044634167651,0.0006251932255261372,0.9189320347430452,0.036210001475915875,0.7300624523163853,0.009473930771487204,435.6666666666667,29.938826518975876,0.0,0.0,0.0,0.0,0.0,0.0,435.6666666666667,29.938826518975876,169.33333333333334,38.214307966170644,0.6930180741115111,0.012364272625712443,0.5774010228673087,0.047028814875811016
diagnosis_fd001,unblocked,cmapss:FD001,diagnosis,independent | full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",unblocked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10000000000000002,1.6996749443881478e-17,10.0,0.0,125.58089701334636,19.85711929553019,1028.211690266927,138.1434616011096,0.10006333694159515,0.05563896249978543,0.5038535912329362,0.07542563324310635,0.7681060518664928,0.009860660395832114,0.8156583793565443,0.01004155344249852,0.5212250556743799,0.02349457746963126,0.5138348424516447,0.009811475129840005,0.9866828219776344,0.006095770859650762,0.9763306394380772,0.00482639704563829,0.8508450042812331,0.03660470663822112,0.6692337682357166,0.01431203067011376,435.6666666666667,29.938826518975876,0.0,0.0,0.0,0.0,0.0,0.0,435.6666666666667,29.938826518975876,217.33333333333334,46.371686763943934,0.6268272849388884,0.012773795728309865,0.4642967149428611,0.05435998351312563
diagnosis_fd001,unblocked,cmapss:FD001,diagnosis,marginal_max | full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",unblocked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10000000000000002,1.6996749443881478e-17,10.0,0.0,31.269459406534832,3.865698798859403,530.1084798177084,67.60030263481882,0.08118576959851102,0.0699525063872295,0.6069242179973297,0.051645176968306644,0.7943625722630202,0.0060946187414099955,0.854574163853998,0.004043099632421754,0.5129052985815639,0.01925093821464772,0.5094074283294397,0.012422548041628099,0.9990264642267374,0.0013181492658101502,0.998414025667926,0.0015428838748462077,0.960264733087092,0.02436452684840657,0.6692337682357166,0.01431203067011376,435.6666666666667,29.938826518975876,0.0,0.0,0.0,0.0,0.0,0.0,435.6666666666667,29.938826518975876,171.66666666666666,28.728615235220325,0.6268272849388884,0.012773795728309865,0.5716921938029419,0.017975257022246418
diagnosis_fd001,unblocked,cmapss:FD001,diagnosis,conditional_max | full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",unblocked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10000000000000002,1.6996749443881478e-17,10.0,0.0,29.598791758219402,1.824223863346971,531.1373697916666,67.90967873940362,0.024749557876560187,0.024303198041134635,0.659111063594906,0.010520373178181138,0.8351246957161926,0.0027194297280078807,0.8864565575851637,0.0038630972396519964,0.5117740208050444,0.008207729102463607,0.7190670502810419,0.022642854202383787,1.0,0.0,1.0,0.0,0.9592674769404542,0.018729743311328935,0.7300624523163853,0.009473930771487204,435.6666666666667,29.938826518975876,0.0,0.0,0.0,0.0,0.0,0.0,435.6666666666667,29.938826518975876,148.33333333333334,6.506407098647712,0.6930180741115111,0.012364272625712443,0.6431161775264819,0.00875294138881871
diagnosis_fd001,unblocked,cmapss:FD001,diagnosis,relational_max | full | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",unblocked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10000000000000002,1.6996749443881478e-17,10.0,0.0,4.290253321329753,0.5134688924475256,101.98892211914062,5.210595161742563,0.05326985060338157,0.02470387627487538,0.5157799697327173,0.025148455917379953,0.7634525274514047,0.016072969432660414,0.8268655144023241,0.01315596798097178,0.5030927553846158,0.018455548558046302,0.786160292711395,0.03782484335580756,0.9944209513740736,0.004328197162489515,0.9631782091853394,0.02011063495948847,0.5870651454734067,0.016917706779164585,0.5430338067517372,0.019430743453380354,435.6666666666667,29.938826518975876,0.0,0.0,0.0,0.0,37.333333333333336,31.390019645316144,398.3333333333333,60.434537586824746,199.33333333333334,22.368132093076824,0.5579333473066442,0.04037773605008853,0.4157293892723257,0.0635688147264139
diagnosis_fd001,unblocked,cmapss:FD001,diagnosis,query random1:1 | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",unblocked,,,,,,,,,,,0.0,0.0,0.4641729876687653,0.03882386532184119,0.14578242099863323,0.0038090877585870457,871.3333333333334,59.87765303795175,14.0,0.0,14.0,0.0,14.0,0.0,58.0,0.0,1387418.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,604451775.3333334,41537666.81130447,0.0,0.0,13070.0,898.1647955692764,0.0,0.0,30.873929341634113,4.287252098364803,30.889450709025066,4.290022445667694,17.167150497436523,1.253442220725552,8.402844270070394,1.3426475998903886,63.067691802978516,7.236860026683529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_fd001,unblocked,cmapss:FD001,diagnosis,joint | random1:1 | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",unblocked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10000000000000002,1.6996749443881478e-17,10.0,0.0,51.903507232666016,19.148096123480986,1067.1820068359375,159.46702713491698,0.09426691337296346,0.0728556017295229,0.6104542805688823,0.08084661972377884,0.815675123672011,0.0018618710637807326,0.8622790351983788,0.005681976457583148,0.5122122178099945,0.006493996483558027,0.6828502570546785,0.013797412669064377,0.9993354099323319,0.0008223067186746907,0.9977944319977555,0.00015186669566472639,0.9000092147878109,0.02264556239040857,0.7360250349465,0.006645668203764921,426.6666666666667,31.182259913824932,9.0,2.6457513110645907,0.0,0.0,0.0,0.0,426.6666666666667,31.182259913824932,162.0,42.50882261366456,0.6976066986949224,0.008117663347857849,0.5678451630460534,0.05154079584408288
